kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,2216.0,4.0,6.0,0.0,2.0,0.0,0.0,1368.382,1131.545,0.0,0.6666666666666666
SOLDIER,73516.0,743.0,1110.0,30.0,53.0,262.0,4680.0,47960.66799999999,89241.855,0.0,0.6693693693693694
PYRO,3294.0,39.0,39.0,0.0,16.0,0.0,0.0,2585.041,3006.241,0.0,1.0
CHEMIST,850.0,1.0,10.0,0.0,0.0,2.0,8.0,189.934,481.269,0.0,0.1
MEDIC,9303.0,93.0,131.0,0.0,3.0,2.0,102.0,4209.916,10957.58,3657.0,0.7099236641221374
NINJA,2045.0,11.0,45.0,0.0,6.0,2.0,19.0,1314.579,993.1490000000001,0.0,0.24444444444444444
ENGINEER,199.0,2.0,0.0,0.0,1.0,0.0,0.0,20.589,37.0,0.0,Inf
ELF,125.0,0.0,0.0,1.0,0.0,1.0,51.0,12.5,0.0,0.0,NaN
ASSASSIN,103.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.68,0.0,0.0
NECRO,194.0,1.0,0.0,1.0,0.0,1.0,36.0,3.699,84.429,0.0,Inf
SCOUT,801.0,27.0,23.0,2.0,3.0,3.0,48.0,710.7529999999999,750.281,0.0,1.173913043478261
ARCHER,174.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,60.5,0.0,0.0
MAGE,373.0,1.0,3.0,0.0,0.0,0.0,0.0,257.228,291.513,0.0,0.3333333333333333
