kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,57600.0,888.0,518.0,5.0,84.0,53.0,1388.0,97428.30400000003,57722.44499999999,0.0,1.7142857142857142
HEAVY,50378.0,843.0,266.0,3.0,56.0,38.0,623.0,97210.64400000003,54173.405999999995,0.0,3.169172932330827
ARCHER,21996.0,628.0,230.0,0.0,1.0,0.0,0.0,17233.233,12144.801999999998,0.0,2.7304347826086954
MEDIC,12273.0,143.0,83.0,1.0,6.0,8.0,74.0,11340.014000000001,10546.041000000001,4476.0,1.7228915662650603
CHEMIST,142.0,1.0,1.0,0.0,0.0,0.0,0.0,147.438,106.869,0.0,1.0
MAGE,1747.0,21.0,19.0,0.0,0.0,2.0,60.0,1789.607,1140.5710000000001,0.0,1.105263157894737
NINJA,1288.0,47.0,34.0,0.0,0.0,0.0,0.0,2485.8709999999996,867.75,0.0,1.3823529411764706
FASHIONISTA,152.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASSASSIN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ELF,272.0,3.0,4.0,0.0,0.0,0.0,0.0,318.706,316.724,0.0,0.75
