kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,19571.0,44.0,27.0,0.0,7.0,3.0,5.0,4467.0869999999995,4507.659000000001,0.0,1.6296296296296295
MEDIC,105765.0,404.0,767.0,5.0,75.0,42.0,680.0,29045.088000000007,62961.22600000001,30544.0,0.5267275097783573
MAGE,137600.0,554.0,1079.0,9.0,50.0,29.0,715.0,59420.09,53720.408,0.0,0.5134383688600556
ARCHER,14548.0,156.0,162.0,0.0,3.0,0.0,0.0,5516.715,8331.104000000001,0.0,0.9629629629629629
SOLDIER,2198.0,7.0,24.0,3.0,1.0,8.0,192.0,396.397,1324.351,0.0,0.2916666666666667
NINJA,15162.0,68.0,274.0,2.0,22.0,18.0,962.0,8673.913000000002,7138.842,0.0,0.24817518248175183
ASSASSIN,16283.0,143.0,319.0,3.0,27.0,5.0,93.0,3554.162999999999,6983.124000000002,0.0,0.4482758620689655
ENGINEER,1143.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0
CHEMIST,5204.0,15.0,41.0,0.0,2.0,1.0,0.0,1466.08,1522.081,0.0,0.36585365853658536
PYRO,583.0,2.0,7.0,0.0,0.0,0.0,14.0,262.83799999999997,381.598,0.0,0.2857142857142857
ELF,116.0,0.0,3.0,0.0,0.0,0.0,0.0,25.25,103.472,0.0,0.0
NECRO,820.0,2.0,9.0,1.0,0.0,1.0,116.0,302.666,860.71,66.0,0.2222222222222222
FASHIONISTA,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
DWARF,524.0,12.0,4.0,0.0,0.0,1.0,3.0,1077.94,727.4,0.0,3.0
