kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,68473.0,864.0,562.0,13.0,24.0,102.0,2875.0,60695.08899999999,69617.93300000002,0.0,1.5373665480427046
SOLDIER,77414.0,746.0,988.0,52.0,71.0,345.0,11952.0,59322.271,94107.656,0.0,0.7550607287449392
ARCHER,21304.0,307.0,210.0,2.0,2.0,19.0,344.0,10135.581999999999,13322.771000000008,0.0,1.4619047619047618
MEDIC,84061.0,984.0,1155.0,14.0,13.0,201.0,2441.0,41030.47499999999,111075.60500000004,22021.0,0.8519480519480519
PYRO,30125.0,399.0,319.0,0.0,84.0,9.0,106.0,21351.497000000003,25022.843,0.0,1.250783699059561
CHEMIST,122561.0,2090.0,2281.0,54.0,22.0,576.0,9716.0,106777.61400000007,203168.82699999996,0.0,0.9162647961420429
ASSASSIN,17099.0,366.0,414.0,0.0,29.0,5.0,41.0,10074.838000000003,9525.185,0.0,0.8840579710144928
NINJA,162311.0,2453.0,7073.0,35.0,450.0,152.0,1099.0,301137.72799999965,167004.15200000012,0.0,0.3468118195956454
ELF,76882.0,561.0,1220.0,40.0,17.0,362.0,5178.0,31345.346000000005,87327.21100000001,0.0,0.4598360655737705
NECRO,17935.0,250.0,211.0,4.0,6.0,43.0,1212.0,16230.103999999996,22197.522,2611.0,1.1848341232227488
MAGE,29798.0,255.0,353.0,1.0,17.0,29.0,204.0,23007.058999999997,20206.47299999999,0.0,0.7223796033994334
DWARF,1304.0,19.0,17.0,0.0,3.0,3.0,28.0,1308.1470000000002,1868.0300000000002,0.0,1.1176470588235294
ENGINEER,20660.0,280.0,237.0,0.0,24.0,16.0,105.0,19030.373999999996,22030.795,0.0,1.1814345991561181
SCOUT,22467.0,192.0,513.0,1.0,24.0,54.0,302.0,15991.492000000002,19385.008999999984,0.0,0.3742690058479532
