kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,243050.0,4122.0,1660.0,34.0,429.0,241.0,8233.0,424662.4079999999,303485.24199999997,0.0,2.483132530120482
MEDIC,122105.0,1597.0,1694.0,29.0,44.0,251.0,5189.0,68948.42099999999,152708.44499999986,64439.0,0.9427390791027155
ARCHER,76865.0,1988.0,768.0,3.0,8.0,9.0,567.0,60189.90299999999,50898.16400000001,0.0,2.5885416666666665
PYRO,324938.0,6832.0,3024.0,14.0,1491.0,22.0,485.0,303441.86500000017,282150.34500000003,0.0,2.259259259259259
MAGE,8250.0,93.0,92.0,1.0,6.0,5.0,75.0,8323.226,6177.528,0.0,1.0108695652173914
NINJA,200069.0,4072.0,6962.0,13.0,533.0,60.0,659.0,386637.426,176420.48100000003,0.0,0.5848893995978167
SOLDIER,292751.0,4526.0,3223.0,92.0,511.0,811.0,21491.0,399814.9559999997,368433.81299999997,0.0,1.4042817251008377
ASSASSIN,134678.0,3412.0,3487.0,11.0,588.0,57.0,633.0,89459.33600000002,83561.19100000004,0.0,0.9784915400057356
NECRO,24446.0,462.0,242.0,2.0,18.0,35.0,783.0,28395.677999999996,31970.132,92.0,1.9090909090909092
CHEMIST,18145.0,307.0,233.0,4.0,16.0,36.0,943.0,14072.313000000004,19008.757,0.0,1.3175965665236051
ELF,8203.0,92.0,79.0,0.0,1.0,14.0,250.0,4977.189,6352.893,0.0,1.1645569620253164
ENGINEER,6506.0,128.0,58.0,0.0,3.0,9.0,230.0,7805.573,7024.133,0.0,2.206896551724138
DWARF,1109.0,8.0,6.0,0.0,0.0,0.0,68.0,716.4599999999999,708.4839999999999,0.0,1.3333333333333333
FASHIONISTA,928.0,15.0,10.0,1.0,0.0,4.0,82.0,861.7539999999999,942.1479999999999,0.0,1.5
SCOUT,18434.0,234.0,405.0,3.0,36.0,19.0,93.0,20432.247,18854.249000000003,0.0,0.5777777777777777
