kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,1.163068e6,46356.0,44574.0,13.0,4703.0,133.0,679.0,1.2916936399999997e6,1.1004900620000004e6,0.0,1.0399784627809934
HEAVY,35370.0,481.0,280.0,4.0,30.0,34.0,1732.0,46392.46199999999,42654.15299999999,0.0,1.7178571428571427
NINJA,113070.0,2149.0,4900.0,4.0,282.0,93.0,637.0,244078.7320000002,134117.212,0.0,0.43857142857142856
PYRO,33317.0,763.0,346.0,1.0,157.0,2.0,85.0,34027.270000000004,33310.20699999999,0.0,2.2052023121387285
ARCHER,147992.0,4450.0,2299.0,3.0,6.0,10.0,132.0,116209.54599999997,133058.54899999997,0.0,1.9356241844280122
CHEMIST,108839.0,1831.0,1942.0,45.0,21.0,491.0,9978.0,91892.61899999996,171270.30399999997,0.0,0.942842430484037
MEDIC,300754.0,3219.0,2970.0,28.0,99.0,84.0,3795.0,130124.59299999994,310418.06000000006,352228.0,1.0838383838383838
NECRO,37799.0,1070.0,355.0,4.0,15.0,13.0,1898.0,49086.21500000002,49716.33300000001,33.0,3.0140845070422535
ELF,67988.0,840.0,1273.0,41.0,7.0,397.0,7764.0,38541.38100000001,102395.92100000005,0.0,0.6598586017282011
SCOUT,37502.0,422.0,898.0,1.0,36.0,73.0,580.0,32633.671999999995,36862.114,0.0,0.46993318485523383
SOLDIER,107189.0,1378.0,1583.0,69.0,50.0,548.0,16139.0,95528.84200000002,156552.92400000012,0.0,0.8704990524320909
MAGE,28932.0,379.0,416.0,1.0,7.0,9.0,157.0,31597.320999999993,25527.765000000003,0.0,0.9110576923076923
ENGINEER,6079.0,99.0,48.0,0.0,0.0,7.0,86.0,4385.067,4911.740999999999,0.0,2.0625
DWARF,374.0,2.0,0.0,0.0,0.0,0.0,0.0,216.749,56.75,0.0,Inf
FASHIONISTA,399.0,1.0,4.0,0.0,0.0,0.0,0.0,35.5,161.11,0.0,0.25
