kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,5970.0,66.0,22.0,0.0,6.0,1.0,4.0,9078.547,6439.501,0.0,3.0
ARCHER,43181.0,836.0,505.0,0.0,1.0,1.0,72.0,28209.400000000005,28680.175000000003,0.0,1.6554455445544554
MAGE,411.0,0.0,1.0,0.0,0.0,0.0,0.0,90.5,160.266,0.0,0.0
CHEMIST,520.0,3.0,0.0,0.0,1.0,0.0,0.0,99.44999999999999,88.93,0.0,Inf
NECRO,961.0,4.0,2.0,0.0,1.0,0.0,0.0,397.259,385.818,0.0,2.0
MEDIC,22633.0,168.0,92.0,0.0,43.0,0.0,0.0,14719.971,13779.235999999999,33108.0,1.826086956521739
SOLDIER,2335.0,33.0,30.0,0.0,0.0,1.0,6.0,2695.629,2741.964,0.0,1.1
NINJA,5394.0,63.0,89.0,0.0,1.0,0.0,0.0,5287.151,2755.5,0.0,0.7078651685393258
ELF,505.0,7.0,2.0,0.0,0.0,0.0,0.0,107.541,310.117,0.0,3.5
DWARF,32.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,36.159,0.0,0.0
