kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,5010.0,53.0,18.0,0.0,5.0,1.0,4.0,6726.4310000000005,5161.8859999999995,0.0,2.9444444444444446
SOLDIER,1134.0,9.0,9.0,0.0,0.0,1.0,6.0,475.759,763.1949999999999,0.0,1.0
MEDIC,8837.0,45.0,39.0,0.0,13.0,0.0,0.0,5104.609,5875.707,7680.0,1.1538461538461537
ARCHER,36546.0,699.0,399.0,0.0,1.0,1.0,40.0,23086.835000000003,23065.313000000002,0.0,1.7518796992481203
MAGE,411.0,0.0,1.0,0.0,0.0,0.0,0.0,90.5,160.266,0.0,0.0
CHEMIST,151.0,1.0,0.0,0.0,0.0,0.0,0.0,65.832,67.68,0.0,Inf
NECRO,961.0,4.0,2.0,0.0,1.0,0.0,0.0,397.259,385.818,0.0,2.0
ELF,505.0,7.0,2.0,0.0,0.0,0.0,0.0,107.541,310.117,0.0,3.5
NINJA,3601.0,45.0,28.0,0.0,0.0,0.0,0.0,2648.082,1303.75,0.0,1.6071428571428572
DWARF,32.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,36.159,0.0,0.0
