kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,176201.0,2068.0,1189.0,25.0,193.0,183.0,6312.0,179882.75100000005,147026.35199999998,0.0,1.7392767031118588
NINJA,430449.0,6441.0,14128.0,6.0,1186.0,72.0,1110.0,769165.2139999996,361864.54700000014,0.0,0.45590317100792754
DWARF,8048.0,59.0,41.0,3.0,7.0,12.0,803.0,4370.635,4077.337,0.0,1.4390243902439024
ENGINEER,23083.0,149.0,98.0,2.0,8.0,7.0,519.0,8932.868,5860.9349999999995,0.0,1.5204081632653061
ARCHER,141703.0,3155.0,1186.0,1.0,20.0,23.0,338.0,94042.85199999998,71679.627,0.0,2.660202360876897
NECRO,8997.0,32.0,29.0,0.0,2.0,1.0,35.0,3098.245,2815.902,309.0,1.103448275862069
PYRO,396833.0,7898.0,2863.0,3.0,1701.0,26.0,797.0,327287.77400000003,276478.29099999997,0.0,2.7586447782046806
ELF,52741.0,376.0,428.0,5.0,20.0,44.0,1263.0,27380.166000000005,30442.47300000001,0.0,0.8785046728971962
ASSASSIN,14673.0,302.0,299.0,2.0,39.0,5.0,147.0,7186.005999999999,7069.978000000002,0.0,1.0100334448160535
SOLDIER,98974.0,1057.0,925.0,31.0,143.0,154.0,6886.0,104377.12199999996,92812.40800000004,0.0,1.1427027027027028
MEDIC,38382.0,549.0,450.0,9.0,17.0,34.0,1450.0,24293.984999999997,42261.600999999995,19245.0,1.22
CHEMIST,146249.0,1981.0,1440.0,21.0,169.0,208.0,4802.0,166828.41799999995,139578.99899999998,0.0,1.3756944444444446
MAGE,227988.0,1686.0,1477.0,6.0,110.0,77.0,2953.0,173836.617,99292.70099999993,0.0,1.1415030467163167
FASHIONISTA,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,2103.0,32.0,47.0,0.0,4.0,9.0,30.0,1194.233,1564.363,0.0,0.6808510638297872
