kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,86889.0,1092.0,799.0,24.0,33.0,204.0,7858.0,86610.07499999995,106351.668,0.0,1.3667083854818523
SOLDIER,196249.0,2508.0,3175.0,127.0,64.0,1212.0,26881.0,143023.21700000006,296968.14599999983,0.0,0.7899212598425197
NINJA,54433.0,722.0,1647.0,5.0,103.0,38.0,615.0,71894.45399999997,43260.41800000003,0.0,0.4383727990285367
MAGE,8206.0,53.0,98.0,3.0,6.0,15.0,525.0,5004.01,5616.659999999999,0.0,0.5408163265306123
ARCHER,13309.0,341.0,229.0,0.0,1.0,9.0,78.0,9858.823999999999,13580.051000000001,0.0,1.4890829694323144
ASSASSIN,13644.0,326.0,309.0,2.0,49.0,7.0,141.0,8101.136999999999,7570.792999999999,0.0,1.0550161812297734
CHEMIST,235018.0,5288.0,4421.0,80.0,53.0,1149.0,17227.0,269107.77999999974,468512.13,0.0,1.1961094774937797
MEDIC,78273.0,935.0,1036.0,18.0,26.0,236.0,4902.0,44446.174999999996,109597.03100000006,24068.0,0.9025096525096525
PYRO,8726.0,115.0,81.0,0.0,25.0,1.0,3.0,5832.118,6152.1500000000015,0.0,1.4197530864197532
ENGINEER,9299.0,164.0,66.0,0.0,3.0,1.0,379.0,9533.935999999998,7838.584999999999,0.0,2.484848484848485
DWARF,2329.0,28.0,16.0,1.0,3.0,4.0,202.0,2000.87,1549.3880000000001,0.0,1.75
ELF,17936.0,205.0,253.0,4.0,4.0,63.0,2174.0,10452.430999999999,20536.726,0.0,0.8102766798418972
NECRO,31295.0,1003.0,460.0,4.0,5.0,30.0,1425.0,44744.68799999999,56604.01400000001,0.0,2.1804347826086956
SCOUT,15837.0,151.0,320.0,0.0,22.0,21.0,153.0,14745.803999999996,14222.766000000001,0.0,0.471875
