kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,43230.0,1044.0,393.0,14.0,43.0,79.0,1695.0,74905.41900000004,60687.70500000001,0.0,2.6564885496183206
SOLDIER,60664.0,1004.0,263.0,2.0,159.0,5.0,417.0,106207.63500000002,58258.36999999999,0.0,3.817490494296578
MAGE,29976.0,212.0,131.0,0.0,7.0,0.0,1.0,23582.442,10411.737000000001,0.0,1.618320610687023
HEAVY,121846.0,2448.0,388.0,3.0,216.0,8.0,568.0,249302.76500000004,139491.90299999996,0.0,6.309278350515464
ENGINEER,70485.0,1121.0,220.0,2.0,72.0,1.0,94.0,88889.44099999996,47831.244000000006,0.0,5.095454545454546
NINJA,33545.0,594.0,714.0,2.0,109.0,7.0,81.0,62293.18899999998,28414.663999999997,0.0,0.8319327731092437
NECRO,44004.0,511.0,95.0,3.0,49.0,3.0,847.0,40141.63399999999,30287.108999999993,0.0,5.378947368421053
MEDIC,155704.0,942.0,327.0,1.0,264.0,1.0,780.0,75812.93600000003,80483.83400000003,244102.0,2.8807339449541285
ARCHER,6000.0,115.0,28.0,0.0,0.0,0.0,0.0,3975.1949999999997,3035.4390000000003,0.0,4.107142857142857
DWARF,79.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,130.149,0.0,Inf
PYRO,31943.0,854.0,179.0,1.0,188.0,0.0,25.0,35886.69500000001,27360.004000000004,0.0,4.770949720670391
SCOUT,5823.0,72.0,48.0,0.0,16.0,0.0,0.0,5693.422999999999,3735.141,0.0,1.5
ELF,2132.0,28.0,11.0,0.0,1.0,0.0,0.0,1634.911,1254.156,0.0,2.5454545454545454
ASSASSIN,1455.0,34.0,22.0,0.0,6.0,0.0,0.0,877.7199999999999,617.982,0.0,1.5454545454545454
FASHIONISTA,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
