kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,18780.0,251.0,96.0,1.0,17.0,13.0,259.0,30161.588999999996,19276.641000000003,0.0,2.6145833333333335
NINJA,114170.0,1960.0,4450.0,7.0,289.0,25.0,421.0,235166.64599999983,119390.16800000005,0.0,0.4404494382022472
ASSASSIN,6397.0,109.0,141.0,0.0,20.0,2.0,19.0,3485.7249999999995,3386.759,0.0,0.7730496453900709
ARCHER,9893.0,238.0,70.0,0.0,1.0,2.0,407.0,7477.610000000001,5089.266,0.0,3.4
CHEMIST,4874.0,74.0,67.0,2.0,2.0,13.0,462.0,5428.897000000001,6604.619,0.0,1.1044776119402986
PYRO,3443.0,31.0,34.0,0.0,2.0,0.0,0.0,2033.4489999999998,2110.09,0.0,0.9117647058823529
ELF,4583.0,23.0,37.0,0.0,1.0,3.0,46.0,2926.096,2452.224,0.0,0.6216216216216216
MEDIC,62687.0,700.0,620.0,9.0,12.0,86.0,2470.0,36557.35600000001,67801.476,17725.0,1.1290322580645162
ENGINEER,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
MAGE,512.0,3.0,9.0,0.0,1.0,3.0,86.0,289.629,548.346,0.0,0.3333333333333333
SOLDIER,20996.0,248.0,187.0,0.0,25.0,12.0,114.0,32508.613,22852.103000000003,0.0,1.3262032085561497
NECRO,4315.0,63.0,57.0,0.0,6.0,3.0,52.0,6296.233,6451.113000000001,0.0,1.105263157894737
SCOUT,6633.0,75.0,132.0,0.0,8.0,4.0,25.0,5828.722000000001,5579.098999999999,0.0,0.5681818181818182
DWARF,573.0,14.0,15.0,3.0,1.0,11.0,51.0,1723.82,1619.41,0.0,0.9333333333333333
