kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,43560.0,645.0,489.0,11.0,6.0,87.0,2779.0,43328.092000000004,60336.90199999999,0.0,1.3190184049079754
SOLDIER,381125.0,4332.0,5397.0,170.0,57.0,1672.0,37831.0,212066.55499999988,485553.64499999996,0.0,0.802668148971651
NECRO,13687.0,241.0,160.0,1.0,5.0,6.0,368.0,11388.892,16392.857,0.0,1.50625
CHEMIST,41291.0,489.0,600.0,9.0,4.0,64.0,1947.0,28364.768,44509.778000000006,0.0,0.815
MEDIC,266670.0,2609.0,3370.0,19.0,84.0,132.0,3588.0,120377.71800000004,302615.55199999985,194404.0,0.7741839762611276
NINJA,50242.0,691.0,1254.0,3.0,43.0,17.0,197.0,56781.377999999975,34886.808,0.0,0.55103668261563
PYRO,10120.0,133.0,122.0,0.0,15.0,0.0,0.0,8010.6269999999995,8217.032000000001,0.0,1.0901639344262295
ASSASSIN,30068.0,465.0,585.0,1.0,93.0,2.0,53.0,12325.498,14328.129999999994,0.0,0.7948717948717948
MAGE,1897.0,25.0,37.0,0.0,0.0,0.0,0.0,1303.203,1441.537,0.0,0.6756756756756757
ELF,14775.0,118.0,184.0,2.0,1.0,32.0,464.0,5543.096999999999,12643.619999999999,0.0,0.6413043478260869
ARCHER,3986.0,80.0,27.0,0.0,1.0,0.0,29.0,2242.739,1473.002,0.0,2.962962962962963
ENGINEER,3263.0,42.0,33.0,0.0,2.0,1.0,42.0,2519.476,2431.1899999999996,0.0,1.2727272727272727
SCOUT,4161.0,57.0,87.0,1.0,2.0,3.0,14.0,2709.79,3276.5339999999997,0.0,0.6551724137931034
FASHIONISTA,1521.0,10.0,28.0,0.0,0.0,3.0,11.0,897.608,1673.884,0.0,0.35714285714285715
DWARF,937.0,9.0,15.0,1.0,0.0,1.0,8.0,1108.9099999999999,1192.509,0.0,0.6
