kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,51660.0,707.0,562.0,12.0,42.0,57.0,3492.0,67230.82599999999,79965.49899999998,0.0,1.2580071174377223
NINJA,172882.0,2543.0,6260.0,11.0,437.0,109.0,708.0,316107.021,181557.25600000017,0.0,0.4062300319488818
SCOUT,54525.0,494.0,1344.0,0.0,60.0,25.0,140.0,39538.143000000004,55368.36299999998,0.0,0.36755952380952384
CHEMIST,219640.0,4109.0,4293.0,99.0,34.0,1116.0,22684.0,226003.39700000023,465807.7259999996,0.0,0.9571395294665735
SOLDIER,144274.0,1523.0,2072.0,50.0,170.0,685.0,14107.0,122892.51300000008,199991.38600000003,0.0,0.73503861003861
NECRO,9046.0,159.0,118.0,1.0,1.0,18.0,489.0,7661.428000000001,13625.876,0.0,1.347457627118644
ELF,191079.0,1984.0,3810.0,103.0,20.0,1385.0,23617.0,89392.90799999995,338567.1360000003,0.0,0.5207349081364829
ARCHER,47378.0,1064.0,687.0,0.0,2.0,2.0,17.0,29824.645000000004,44886.67300000001,0.0,1.5487627365356622
ASSASSIN,27752.0,484.0,786.0,0.0,64.0,1.0,1.0,16131.194000000003,18867.08500000001,0.0,0.6157760814249363
MEDIC,74116.0,994.0,1136.0,8.0,27.0,107.0,1511.0,39251.96099999999,121083.80699999996,37539.0,0.875
PYRO,85654.0,1675.0,849.0,1.0,368.0,1.0,7.0,77399.11499999998,97405.03499999997,0.0,1.9729093050647821
MAGE,44254.0,422.0,491.0,2.0,33.0,13.0,179.0,50172.44799999999,35313.61199999999,0.0,0.8594704684317719
ENGINEER,3414.0,41.0,62.0,1.0,1.0,7.0,95.0,3987.6220000000003,5227.827,0.0,0.6612903225806451
DWARF,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
FASHIONISTA,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
