kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,618017.0,17634.0,17725.0,6.0,2000.0,67.0,686.0,549505.2889999995,439548.3069999999,0.0,0.9948660084626234
HEAVY,516039.0,488.0,394.0,4.0,25.0,38.0,1480.0,51693.03900000002,51749.469000000005,0.0,1.2385786802030456
CHEMIST,10474.0,96.0,116.0,0.0,9.0,6.0,99.0,8316.916000000003,8652.275,0.0,0.8275862068965517
NINJA,59638.0,877.0,1595.0,3.0,91.0,6.0,81.0,80907.542,40612.710999999996,0.0,0.5498432601880878
MEDIC,68625.0,775.0,807.0,8.0,44.0,133.0,1902.0,51532.58700000002,84509.92599999998,17090.0,0.9603469640644362
ARCHER,6026.0,99.0,56.0,0.0,3.0,1.0,33.0,3654.3679999999995,3179.3730000000005,0.0,1.7678571428571428
PYRO,11953.0,214.0,141.0,2.0,38.0,0.0,29.0,8395.101999999999,9840.089,0.0,1.5177304964539007
MAGE,10677.0,58.0,71.0,1.0,5.0,5.0,134.0,7420.205999999999,5139.342000000001,0.0,0.8169014084507042
ELF,14660.0,55.0,81.0,0.0,4.0,1.0,274.0,4580.382999999999,5242.359,0.0,0.6790123456790124
SOLDIER,71123.0,787.0,880.0,32.0,94.0,186.0,6540.0,69938.89799999999,79827.60299999999,0.0,0.8943181818181818
ENGINEER,42787.0,605.0,407.0,0.0,55.0,15.0,291.0,59495.03899999999,46813.846,0.0,1.4864864864864864
DWARF,1399.0,9.0,26.0,4.0,2.0,9.0,229.0,1550.818,2195.589,0.0,0.34615384615384615
FASHIONISTA,691.0,0.0,1.0,0.0,0.0,0.0,0.0,5.5,38.0,0.0,0.0
NECRO,34000.0,696.0,481.0,3.0,16.0,56.0,829.0,38320.82200000001,48886.43299999999,43.0,1.446985446985447
SCOUT,9635.0,88.0,195.0,0.0,14.0,5.0,22.0,6420.982,6822.663,0.0,0.4512820512820513
