kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,482903.0,13163.0,12746.0,6.0,1510.0,61.0,625.0,409259.81499999954,311303.0540000001,0.0,1.0327161462419583
HEAVY,514542.0,452.0,373.0,4.0,25.0,37.0,1477.0,48895.01300000001,48359.997,0.0,1.2117962466487935
CHEMIST,8544.0,63.0,93.0,0.0,8.0,5.0,97.0,6509.772000000001,6737.775,0.0,0.6774193548387096
NINJA,58405.0,856.0,1545.0,3.0,90.0,6.0,81.0,78733.802,39311.011999999995,0.0,0.5540453074433657
MEDIC,62243.0,739.0,765.0,8.0,34.0,128.0,1879.0,47551.18100000002,78566.98799999997,12888.0,0.9660130718954248
ARCHER,6026.0,99.0,56.0,0.0,3.0,1.0,33.0,3654.3679999999995,3179.3730000000005,0.0,1.7678571428571428
PYRO,10849.0,190.0,128.0,2.0,36.0,0.0,29.0,7314.745999999999,8206.619,0.0,1.484375
MAGE,10677.0,58.0,71.0,1.0,5.0,5.0,134.0,7420.205999999999,5139.342000000001,0.0,0.8169014084507042
ELF,14537.0,54.0,78.0,0.0,4.0,1.0,274.0,4385.393999999999,5054.755,0.0,0.6923076923076923
SOLDIER,62036.0,620.0,721.0,30.0,83.0,146.0,6124.0,57903.959999999985,63346.212000000014,0.0,0.8599167822468793
ENGINEER,19419.0,214.0,162.0,0.0,23.0,4.0,30.0,23390.822,18337.163999999997,0.0,1.3209876543209877
DWARF,1399.0,9.0,26.0,4.0,2.0,9.0,229.0,1550.818,2195.589,0.0,0.34615384615384615
FASHIONISTA,691.0,0.0,1.0,0.0,0.0,0.0,0.0,5.5,38.0,0.0,0.0
NECRO,16393.0,267.0,158.0,1.0,13.0,20.0,343.0,17447.325,18809.140999999996,43.0,1.6898734177215189
SCOUT,6878.0,59.0,118.0,0.0,10.0,1.0,4.0,4038.939,3979.657,0.0,0.5
