kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,15797.0,162.0,79.0,1.0,10.0,9.0,404.0,18527.41,14266.397,0.0,2.050632911392405
ASSASSIN,50975.0,1017.0,1386.0,2.0,138.0,13.0,131.0,31171.89699999999,31409.84699999999,0.0,0.7337662337662337
NINJA,115340.0,1634.0,3674.0,5.0,217.0,36.0,246.0,167986.597,89732.18499999995,0.0,0.4447468698965705
SOLDIER,22781.0,184.0,179.0,11.0,34.0,42.0,1712.0,24345.094000000005,19190.519,0.0,1.0279329608938548
ELF,16042.0,94.0,134.0,9.0,10.0,23.0,1486.0,6382.163,8002.234,0.0,0.7014925373134329
ARCHER,2832.0,56.0,49.0,0.0,1.0,1.0,1.0,2005.7559999999999,1985.4699999999998,0.0,1.1428571428571428
CHEMIST,4708.0,40.0,67.0,0.0,2.0,5.0,65.0,3348.6409999999996,5196.0070000000005,0.0,0.5970149253731343
PYRO,33700.0,563.0,364.0,0.0,102.0,5.0,37.0,22565.459,25286.937,0.0,1.5467032967032968
MAGE,4484.0,28.0,32.0,3.0,3.0,5.0,106.0,2370.87,2397.7019999999998,0.0,0.875
NECRO,443.0,0.0,3.0,1.0,0.0,2.0,50.0,54.75,89.872,0.0,0.0
MEDIC,8882.0,125.0,99.0,1.0,7.0,23.0,215.0,6313.275000000001,10314.116000000002,2877.0,1.2626262626262625
ENGINEER,99.0,3.0,0.0,0.0,0.0,0.0,0.0,192.71,30.0,0.0,Inf
DWARF,221.0,1.0,0.0,1.0,0.0,1.0,160.0,54.47,10.0,0.0,Inf
SCOUT,262.0,1.0,7.0,0.0,0.0,0.0,0.0,165.739,248.74599999999998,0.0,0.14285714285714285
