kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,60359.0,19.0,11.0,1.0,6.0,6.0,356.0,1667.878,2285.8949999999995,0.0,1.7272727272727273
MAGE,31574.0,73.0,97.0,12.0,36.0,40.0,4678.0,8454.776,10015.998000000001,0.0,0.7525773195876289
CHEMIST,212856.0,4209.0,3080.0,129.0,50.0,1000.0,21702.0,203169.51100000003,355194.4450000002,0.0,1.3665584415584415
NINJA,75031.0,810.0,1587.0,7.0,202.0,58.0,1409.0,87772.278,46372.1,0.0,0.5103969754253308
MEDIC,71772.0,734.0,684.0,32.0,26.0,230.0,4812.0,32265.319,86289.83899999998,25452.0,1.0730994152046784
SOLDIER,19868.0,197.0,211.0,14.0,9.0,117.0,3716.0,10751.067000000001,21581.634000000002,0.0,0.933649289099526
ASSASSIN,55654.0,922.0,886.0,6.0,145.0,61.0,933.0,26034.027999999988,21774.734999999993,0.0,1.0406320541760723
PYRO,188089.0,3552.0,1546.0,2.0,701.0,21.0,386.0,143968.15300000002,139175.2420000001,0.0,2.297542043984476
ENGINEER,3140.0,0.0,1.0,0.0,0.0,0.0,0.0,17.5,227.25,0.0,0.0
ELF,22263.0,192.0,283.0,9.0,1.0,100.0,1979.0,9301.322999999999,18942.677,0.0,0.6784452296819788
ARCHER,6523.0,169.0,48.0,0.0,1.0,1.0,7.0,4767.04,3382.541,0.0,3.5208333333333335
DWARF,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NECRO,1356.0,1.0,2.0,0.0,0.0,0.0,0.0,23.75,207.389,0.0,0.5
SCOUT,398.0,5.0,6.0,0.0,0.0,0.0,0.0,231.089,266.455,0.0,0.8333333333333334
