kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,3049.0,13.0,17.0,0.0,2.0,1.0,2.0,2208.963,2724.5070000000005,0.0,0.7647058823529411
SOLDIER,117715.0,1236.0,1769.0,40.0,69.0,380.0,7755.0,78247.08499999995,148549.104,0.0,0.6986998304126625
PYRO,3316.0,39.0,39.0,0.0,16.0,0.0,0.0,2585.041,3006.241,0.0,1.0
CHEMIST,912.0,1.0,10.0,0.0,0.0,2.0,8.0,189.934,481.269,0.0,0.1
MEDIC,13827.0,141.0,182.0,0.0,14.0,9.0,133.0,6833.625,15821.867000000002,7471.0,0.7747252747252747
NINJA,2738.0,12.0,59.0,0.0,7.0,2.0,19.0,1815.5419999999997,1409.748,0.0,0.2033898305084746
ENGINEER,362.0,3.0,6.0,0.0,1.0,1.0,1.0,73.589,362.147,0.0,0.5
ELF,125.0,0.0,0.0,1.0,0.0,1.0,51.0,12.5,0.0,0.0,NaN
ASSASSIN,1904.0,23.0,46.0,0.0,8.0,2.0,17.0,554.698,1066.142,0.0,0.5
NECRO,194.0,1.0,0.0,1.0,0.0,1.0,36.0,3.699,84.429,0.0,Inf
SCOUT,801.0,27.0,23.0,2.0,3.0,3.0,48.0,710.7529999999999,750.281,0.0,1.173913043478261
ARCHER,946.0,12.0,5.0,2.0,0.0,3.0,111.0,308.352,289.97900000000004,0.0,2.4
MAGE,552.0,1.0,3.0,0.0,0.0,0.0,0.0,263.228,292.513,0.0,0.3333333333333333
