kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,56582.0,803.0,580.0,16.0,46.0,136.0,3358.0,63859.82400000001,72821.594,0.0,1.3844827586206896
NINJA,135336.0,1694.0,4024.0,32.0,295.0,155.0,1535.0,165332.8600000001,111941.31599999999,0.0,0.4209741550695825
ELF,33647.0,262.0,559.0,21.0,4.0,175.0,2735.0,14567.464000000004,43709.959999999985,0.0,0.46869409660107336
PYRO,12894.0,117.0,128.0,1.0,25.0,3.0,54.0,6055.280000000001,8566.226999999997,0.0,0.9140625
ASSASSIN,151086.0,2362.0,3445.0,5.0,510.0,27.0,322.0,60717.28200000001,81711.104,0.0,0.6856313497822932
MEDIC,148901.0,1599.0,1891.0,23.0,116.0,222.0,3180.0,74753.78999999998,186656.18500000003,109382.0,0.8455843469063987
CHEMIST,9124.0,24.0,97.0,0.0,2.0,0.0,15.0,823.8740000000003,1241.615,0.0,0.24742268041237114
ARCHER,38865.0,802.0,434.0,2.0,5.0,5.0,45.0,20903.157,27848.064,0.0,1.847926267281106
SOLDIER,68131.0,723.0,1146.0,35.0,24.0,452.0,9942.0,34435.03699999999,98781.60499999995,0.0,0.6308900523560209
MAGE,57649.0,393.0,665.0,2.0,40.0,43.0,517.0,33038.496,37286.86900000001,0.0,0.5909774436090226
ENGINEER,7617.0,56.0,60.0,1.0,8.0,12.0,353.0,4529.5109999999995,5852.049999999999,0.0,0.9333333333333333
FASHIONISTA,1666.0,2.0,5.0,1.0,5.0,1.0,26.0,129.469,254.19400000000002,0.0,0.4
NECRO,2998.0,31.0,33.0,1.0,3.0,5.0,99.0,2227.286,3105.3659999999995,0.0,0.9393939393939394
DWARF,3561.0,32.0,34.0,4.0,5.0,13.0,506.0,2708.501,3905.46,0.0,0.9411764705882353
SCOUT,69330.0,553.0,1408.0,3.0,104.0,129.0,633.0,46979.731,59761.24900000002,0.0,0.3927556818181818
