kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,72782.0,761.0,614.0,20.0,32.0,187.0,5980.0,62577.41399999999,79840.54599999999,0.0,1.239413680781759
SOLDIER,141680.0,1719.0,2289.0,88.0,55.0,875.0,18545.0,99283.358,209753.03899999996,0.0,0.7509829619921363
NINJA,44756.0,495.0,1176.0,5.0,86.0,34.0,591.0,50792.80199999999,31264.81,0.0,0.42091836734693877
MAGE,8077.0,51.0,94.0,3.0,6.0,15.0,525.0,4922.51,5456.887999999999,0.0,0.5425531914893617
ARCHER,8687.0,212.0,167.0,0.0,1.0,5.0,56.0,6183.977999999999,9333.675000000001,0.0,1.2694610778443114
ASSASSIN,13374.0,318.0,299.0,2.0,48.0,7.0,141.0,7901.548999999999,7301.470999999999,0.0,1.0635451505016722
CHEMIST,146044.0,3024.0,2633.0,46.0,34.0,708.0,11353.0,161127.36400000003,285210.71400000015,0.0,1.1484998101025445
MEDIC,73148.0,839.0,949.0,17.0,24.0,231.0,4785.0,40055.37099999999,99282.46700000005,20670.0,0.8840885142255005
PYRO,8726.0,115.0,81.0,0.0,25.0,1.0,3.0,5832.118,6152.1500000000015,0.0,1.4197530864197532
ENGINEER,8696.0,150.0,64.0,0.0,3.0,1.0,379.0,8985.716999999999,7419.839999999999,0.0,2.34375
DWARF,2124.0,25.0,13.0,1.0,3.0,4.0,202.0,1843.011,1308.448,0.0,1.9230769230769231
ELF,8677.0,56.0,94.0,2.0,3.0,31.0,1569.0,3843.4100000000003,7070.617,0.0,0.5957446808510638
NECRO,17835.0,529.0,247.0,3.0,4.0,21.0,526.0,23954.307999999994,31482.912,0.0,2.1417004048582995
SCOUT,11397.0,103.0,238.0,0.0,17.0,11.0,41.0,11296.128999999997,10533.645000000002,0.0,0.4327731092436975
