kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,208318.0,164.0,104.0,2.0,19.0,30.0,1277.0,13931.494999999999,14984.284,0.0,1.5769230769230769
MEDIC,66513.0,297.0,288.0,21.0,107.0,73.0,2319.0,27931.17699999999,47597.69300000001,24941.0,1.03125
NINJA,49898.0,364.0,762.0,9.0,89.0,25.0,1224.0,37753.25400000001,25644.346999999998,0.0,0.4776902887139108
ARCHER,355265.0,6819.0,2581.0,12.0,41.0,8.0,580.0,210826.81400000007,192218.73699999994,0.0,2.641999225106548
MAGE,6922.0,29.0,57.0,1.0,4.0,3.0,71.0,3600.7259999999997,3552.104,0.0,0.5087719298245614
ASSASSIN,5733.0,81.0,88.0,0.0,12.0,0.0,0.0,1673.5929999999998,2217.522,0.0,0.9204545454545454
CHEMIST,28998.0,191.0,168.0,8.0,41.0,21.0,782.0,17649.370000000006,18396.072999999997,0.0,1.1369047619047619
SOLDIER,14679.0,44.0,61.0,5.0,11.0,32.0,1472.0,3663.017,6248.355999999999,0.0,0.7213114754098361
PYRO,36246.0,404.0,269.0,3.0,95.0,6.0,119.0,17272.18,22906.320999999996,0.0,1.5018587360594795
ELF,5486.0,34.0,28.0,1.0,3.0,3.0,186.0,2037.1229999999996,2221.779,0.0,1.2142857142857142
ENGINEER,598.0,2.0,1.0,0.0,0.0,0.0,0.0,187.931,250.496,0.0,2.0
NECRO,2544.0,8.0,9.0,0.0,6.0,0.0,0.0,1388.537,1412.978,0.0,0.8888888888888888
FASHIONISTA,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,1376.0,10.0,21.0,0.0,3.0,0.0,0.0,1209.079,809.316,0.0,0.47619047619047616
