kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ELF,234888.0,1896.0,4294.0,127.0,8.0,1713.0,26573.0,99798.72200000007,359199.99499999994,0.0,0.4415463437354448
NINJA,94764.0,870.0,3257.0,26.0,25.0,371.0,2110.0,110693.92999999996,93875.28500000002,0.0,0.2671169788148603
MAGE,19878.0,155.0,407.0,1.0,3.0,22.0,226.0,14177.774,20289.767999999996,0.0,0.3808353808353808
CHEMIST,43794.0,606.0,599.0,0.0,38.0,41.0,386.0,69555.44299999998,80763.59899999997,0.0,1.011686143572621
ARCHER,6825.0,165.0,105.0,0.0,0.0,2.0,13.0,4321.364999999999,6745.486,0.0,1.5714285714285714
HEAVY,7984.0,142.0,158.0,0.0,0.0,30.0,128.0,10025.419999999996,16398.938000000002,0.0,0.8987341772151899
SOLDIER,12321.0,90.0,241.0,5.0,1.0,85.0,1158.0,7616.173000000001,18821.335999999996,0.0,0.37344398340248963
MEDIC,5013.0,66.0,97.0,0.0,1.0,10.0,130.0,2747.566,7929.17,2142.0,0.6804123711340206
SCOUT,16596.0,72.0,280.0,0.0,3.0,8.0,11.0,4060.443,8891.805999999999,0.0,0.2571428571428571
ASSASSIN,29071.0,738.0,905.0,0.0,61.0,6.0,31.0,20700.386000000002,21894.997999999996,0.0,0.8154696132596685
NECRO,6058.0,90.0,81.0,1.0,2.0,6.0,66.0,8150.850000000002,9460.582000000002,0.0,1.1111111111111112
ENGINEER,3445.0,13.0,37.0,0.0,0.0,9.0,26.0,509.129,2175.358,0.0,0.35135135135135137
PYRO,543.0,7.0,6.0,0.0,0.0,1.0,9.0,319.007,623.75,0.0,1.1666666666666667
