kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,55932.0,826.0,623.0,6.0,67.0,66.0,2599.0,87846.711,83271.58500000004,0.0,1.3258426966292134
SOLDIER,36616.0,393.0,451.0,4.0,70.0,29.0,528.0,46775.674,42959.53399999999,0.0,0.8713968957871396
ARCHER,126702.0,3130.0,1522.0,2.0,11.0,7.0,210.0,84217.992,84421.693,0.0,2.056504599211564
NINJA,19273.0,168.0,528.0,0.0,27.0,2.0,7.0,22302.285000000003,14199.068,0.0,0.3181818181818182
ASSASSIN,5332.0,42.0,81.0,0.0,9.0,4.0,13.0,1494.4260000000002,1799.825,0.0,0.5185185185185185
MEDIC,22788.0,165.0,218.0,1.0,34.0,16.0,325.0,12429.146999999999,20071.504,14048.0,0.7568807339449541
CHEMIST,5137.0,52.0,71.0,0.0,3.0,7.0,33.0,2863.3669999999997,3897.9819999999995,0.0,0.7323943661971831
PYRO,923.0,8.0,20.0,0.0,0.0,1.0,17.0,543.3149999999999,768.158,0.0,0.4
MAGE,3688.0,30.0,36.0,1.0,2.0,4.0,133.0,3361.566,2153.2400000000002,0.0,0.8333333333333334
ENGINEER,527.0,3.0,5.0,0.0,1.0,2.0,176.0,359.248,269.374,0.0,0.6
NECRO,13646.0,155.0,121.0,0.0,11.0,3.0,241.0,18198.276,16998.590000000004,0.0,1.28099173553719
ELF,374.0,7.0,6.0,2.0,0.0,4.0,51.0,424.933,419.437,0.0,1.1666666666666667
SCOUT,5758.0,65.0,168.0,0.0,9.0,5.0,33.0,5667.293,5865.589000000001,0.0,0.3869047619047619
DWARF,382.0,6.0,4.0,1.0,2.0,0.0,12.0,555.351,448.79200000000003,0.0,1.5
FASHIONISTA,107.0,0.0,2.0,0.0,0.0,0.0,0.0,77.0,87.52,0.0,0.0
