kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,66401.0,763.0,961.0,4.0,17.0,37.0,696.0,29712.126000000007,98928.394,51158.0,0.7939646201873048
CHEMIST,8916.0,136.0,184.0,0.0,2.0,18.0,385.0,5713.371,11559.88,0.0,0.7391304347826086
PYRO,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NINJA,4299.0,50.0,125.0,9.0,4.0,11.0,251.0,6085.202,3575.499,0.0,0.4
SOLDIER,23558.0,330.0,381.0,14.0,8.0,117.0,2237.0,19707.351,36055.26,0.0,0.8661417322834646
NECRO,10668.0,275.0,116.0,2.0,3.0,8.0,465.0,11116.382999999998,17130.267,0.0,2.3706896551724137
ELF,14545.0,238.0,301.0,7.0,2.0,69.0,844.0,9077.034000000001,25036.089999999997,0.0,0.7906976744186046
HEAVY,8583.0,135.0,132.0,0.0,5.0,6.0,456.0,13918.664999999999,17655.52,0.0,1.0227272727272727
ASSASSIN,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MAGE,186.0,1.0,0.0,0.0,0.0,1.0,101.0,63.599,37.0,0.0,Inf
ENGINEER,4951.0,78.0,63.0,1.0,5.0,2.0,40.0,5268.352000000001,6477.853000000001,0.0,1.2380952380952381
ARCHER,232.0,3.0,2.0,0.0,0.0,0.0,0.0,172.5,192.157,0.0,1.5
SCOUT,354.0,1.0,9.0,0.0,0.0,1.0,21.0,296.024,291.952,0.0,0.1111111111111111
