kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,72190.0,1394.0,1278.0,9.0,24.0,209.0,2353.0,97399.97300000003,145416.46999999997,0.0,1.0907668231611893
SOLDIER,253364.0,3320.0,5129.0,74.0,96.0,1187.0,18748.0,186856.41300000012,388731.9149999997,0.0,0.6472996685513746
MEDIC,69881.0,816.0,1234.0,4.0,18.0,103.0,1080.0,38754.90499999999,101526.24500000002,36602.0,0.6612641815235009
NINJA,133525.0,1686.0,4799.0,4.0,156.0,174.0,1299.0,180562.94900000002,130701.44900000008,0.0,0.35132319233173576
MAGE,2546.0,20.0,39.0,0.0,3.0,0.0,0.0,1868.877,2120.303,0.0,0.5128205128205128
ENGINEER,2569.0,32.0,32.0,0.0,1.0,1.0,85.0,3150.433,3095.64,0.0,1.0
ARCHER,885.0,10.0,13.0,0.0,0.0,0.0,0.0,497.059,862.9780000000001,0.0,0.7692307692307693
CHEMIST,842.0,1.0,4.0,0.0,0.0,0.0,0.0,28.0,78.509,0.0,0.25
ELF,237.0,2.0,8.0,0.0,0.0,3.0,4.0,128.499,409.898,0.0,0.25
ASSASSIN,184.0,2.0,9.0,0.0,0.0,0.0,0.0,37.0,168.17,0.0,0.2222222222222222
SCOUT,1448.0,12.0,28.0,0.0,0.0,0.0,0.0,709.196,970.748,0.0,0.42857142857142855
NECRO,328.0,2.0,3.0,0.0,0.0,0.0,0.0,97.5,142.914,0.0,0.6666666666666666
