kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,7436.0,76.0,74.0,0.0,6.0,2.0,10.0,7752.848,10367.002000000004,0.0,1.027027027027027
NINJA,17799.0,112.0,447.0,2.0,17.0,15.0,379.0,15853.404,12510.07,0.0,0.2505592841163311
ASSASSIN,256460.0,4904.0,7804.0,0.0,567.0,35.0,205.0,141903.43000000014,182047.26999999984,0.0,0.628395694515633
ELF,28193.0,155.0,537.0,7.0,1.0,82.0,787.0,7455.152000000002,29238.897999999997,0.0,0.2886405959031657
PYRO,13677.0,88.0,117.0,0.0,26.0,0.0,2.0,6311.113000000001,7660.903,0.0,0.7521367521367521
SCOUT,253.0,2.0,1.0,0.0,0.0,0.0,0.0,23.283,37.911,0.0,2.0
SOLDIER,15211.0,142.0,254.0,1.0,11.0,33.0,195.0,10589.799,19866.228999999996,0.0,0.5590551181102362
CHEMIST,5022.0,33.0,86.0,1.0,5.0,10.0,38.0,1466.443,3770.0589999999997,0.0,0.38372093023255816
MAGE,18236.0,116.0,228.0,0.0,5.0,3.0,169.0,10736.013,11624.86,0.0,0.5087719298245614
ENGINEER,19988.0,200.0,380.0,0.0,6.0,18.0,83.0,15566.508999999995,25772.018000000004,0.0,0.5263157894736842
NECRO,117001.0,1861.0,1815.0,11.0,36.0,180.0,3243.0,91582.46200000001,168134.81900000005,0.0,1.0253443526170798
MEDIC,36991.0,256.0,436.0,0.0,30.0,20.0,259.0,14263.326000000003,34486.20200000001,27170.0,0.5871559633027523
ARCHER,3904.0,59.0,54.0,0.0,0.0,0.0,0.0,2386.764,3460.8910000000005,0.0,1.0925925925925926
FASHIONISTA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
DWARF,48.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,72.319,0.0,0.0
