kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,56295.0,249.0,173.0,5.0,26.0,11.0,649.0,28124.845999999998,23470.880000000005,0.0,1.439306358381503
PYRO,231782.0,3492.0,2146.0,3.0,653.0,7.0,251.0,174960.75900000002,161811.66199999995,0.0,1.6272134203168687
CHEMIST,22510.0,207.0,251.0,1.0,28.0,3.0,101.0,14604.243,15129.297999999997,0.0,0.8247011952191236
MEDIC,33504.0,209.0,243.0,1.0,27.0,7.0,266.0,21448.4,28520.215999999997,25808.0,0.8600823045267489
NINJA,63936.0,888.0,1837.0,1.0,64.0,15.0,336.0,82437.05600000003,43516.337999999996,0.0,0.4833968426782798
ARCHER,219.0,1.0,1.0,1.0,1.0,1.0,59.0,73.599,65.199,0.0,1.0
MAGE,4225.0,14.0,39.0,1.0,3.0,3.0,177.0,1235.665,1998.862,0.0,0.358974358974359
ASSASSIN,35318.0,739.0,952.0,0.0,64.0,5.0,66.0,22884.546,22169.680000000004,0.0,0.7762605042016807
SOLDIER,10309.0,117.0,174.0,1.0,10.0,16.0,147.0,12238.345,14552.461,0.0,0.6724137931034483
ELF,4279.0,15.0,15.0,1.0,3.0,2.0,360.0,754.671,1005.9449999999999,0.0,1.0
DWARF,1525.0,21.0,4.0,0.0,3.0,2.0,184.0,882.619,610.481,0.0,5.25
ENGINEER,761.0,0.0,2.0,0.0,0.0,0.0,0.0,137.0,82.84100000000001,0.0,0.0
NECRO,1121.0,12.0,1.0,0.0,0.0,0.0,0.0,697.9470000000001,517.64,0.0,12.0
SCOUT,701.0,5.0,22.0,0.0,0.0,0.0,0.0,262.644,734.69,0.0,0.22727272727272727
