kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,43640.0,1028.0,1283.0,1.0,141.0,12.0,98.0,28482.921000000006,32346.61199999999,0.0,0.8012470771628994
NECRO,84916.0,1766.0,1301.0,9.0,21.0,64.0,1606.0,85346.49100000002,135627.97800000003,0.0,1.3574173712528823
NINJA,15609.0,184.0,437.0,1.0,43.0,5.0,27.0,22576.226999999995,12967.59,0.0,0.42105263157894735
HEAVY,26332.0,447.0,228.0,5.0,29.0,19.0,850.0,45211.045000000006,39694.341,0.0,1.9605263157894737
SCOUT,3487.0,26.0,52.0,0.0,9.0,4.0,8.0,1819.2569999999998,2180.3019999999997,0.0,0.5
CHEMIST,1851.0,15.0,17.0,0.0,0.0,2.0,71.0,1199.5179999999998,1252.781,0.0,0.8823529411764706
SOLDIER,33028.0,310.0,408.0,7.0,23.0,87.0,2028.0,28996.017000000007,39841.55400000001,0.0,0.7598039215686274
MEDIC,16805.0,119.0,147.0,0.0,5.0,3.0,232.0,6983.529,14504.476,14040.0,0.8095238095238095
PYRO,353.0,6.0,3.0,0.0,1.0,0.0,0.0,286.03499999999997,235.32,0.0,2.0
ARCHER,969.0,4.0,3.0,0.0,1.0,0.0,0.0,509.919,471.552,0.0,1.3333333333333333
FASHIONISTA,69.0,0.0,2.0,0.0,0.0,0.0,0.0,7.5,36.399,0.0,0.0
MAGE,1683.0,4.0,19.0,0.0,2.0,0.0,0.0,895.657,910.922,0.0,0.21052631578947367
ENGINEER,946.0,6.0,9.0,0.0,0.0,0.0,0.0,542.797,841.6089999999999,0.0,0.6666666666666666
ELF,647.0,9.0,8.0,0.0,0.0,3.0,43.0,447.91900000000004,754.4350000000001,0.0,1.125
