kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,13627.0,117.0,174.0,4.0,18.0,34.0,434.0,12261.390999999998,17657.375999999997,0.0,0.6724137931034483
ELF,126227.0,1022.0,2278.0,37.0,7.0,640.0,7957.0,46997.74799999998,151879.5679999999,0.0,0.4486391571553995
NECRO,8735.0,126.0,114.0,1.0,0.0,19.0,566.0,5779.987,9995.011,0.0,1.105263157894737
SCOUT,40301.0,286.0,804.0,1.0,50.0,28.0,158.0,30395.07000000001,35749.219,0.0,0.35572139303482586
NINJA,37046.0,401.0,1298.0,1.0,97.0,6.0,104.0,57919.68299999997,35654.124,0.0,0.3089368258859784
CHEMIST,29143.0,412.0,547.0,3.0,11.0,57.0,819.0,25277.203000000005,40237.43499999998,0.0,0.753199268738574
MEDIC,9078.0,70.0,115.0,2.0,8.0,10.0,115.0,4147.539,8442.856000000002,5919.0,0.6086956521739131
HEAVY,43297.0,829.0,585.0,6.0,10.0,71.0,1725.0,61860.38699999999,69229.716,0.0,1.4170940170940172
ARCHER,622.0,7.0,14.0,0.0,0.0,0.0,0.0,381.858,891.0819999999999,0.0,0.5
MAGE,1416.0,9.0,27.0,0.0,0.0,0.0,0.0,936.9689999999999,1078.8990000000001,0.0,0.3333333333333333
ENGINEER,2387.0,25.0,29.0,0.0,1.0,0.0,0.0,1916.839,2510.9249999999997,0.0,0.8620689655172413
ASSASSIN,854.0,10.0,25.0,0.0,6.0,0.0,0.0,328.154,539.137,0.0,0.4
FASHIONISTA,158.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.399,0.0,0.0
PYRO,386.0,4.0,4.0,0.0,1.0,0.0,0.0,134.868,235.6,0.0,1.0
DWARF,120.0,1.0,1.0,0.0,0.0,0.0,0.0,12.319,20.0,0.0,1.0
