kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,213228.0,6189.0,4146.0,83.0,64.0,750.0,16103.0,261511.81300000002,369984.3990000001,0.0,1.4927641099855282
NINJA,34403.0,566.0,1175.0,4.0,79.0,9.0,84.0,59378.027,30477.100999999995,0.0,0.4817021276595745
SOLDIER,57579.0,782.0,949.0,44.0,29.0,415.0,7589.0,45049.15300000003,87843.33099999998,0.0,0.8240252897787145
HEAVY,25335.0,337.0,246.0,6.0,16.0,31.0,980.0,28892.05499999999,27911.122000000003,0.0,1.3699186991869918
MEDIC,29958.0,428.0,387.0,5.0,17.0,32.0,537.0,17903.101,38179.498,20271.0,1.1059431524547803
ASSASSIN,5872.0,150.0,151.0,0.0,17.0,0.0,0.0,5300.9220000000005,3508.782,0.0,0.9933774834437086
NECRO,5986.0,145.0,86.0,0.0,1.0,2.0,35.0,6539.218000000001,8325.032000000001,29.0,1.686046511627907
ELF,4337.0,56.0,78.0,1.0,1.0,26.0,634.0,2832.7340000000004,6206.525,0.0,0.717948717948718
PYRO,8286.0,113.0,42.0,0.0,38.0,1.0,19.0,5115.853,3904.367,0.0,2.6904761904761907
ARCHER,3882.0,49.0,21.0,1.0,0.0,1.0,37.0,1756.079,1530.725,0.0,2.3333333333333335
MAGE,2831.0,23.0,26.0,2.0,5.0,2.0,357.0,2031.444,1978.592,0.0,0.8846153846153846
SCOUT,2928.0,30.0,76.0,0.0,3.0,0.0,8.0,2165.987,2698.721,0.0,0.39473684210526316
ENGINEER,818.0,29.0,17.0,0.0,0.0,0.0,0.0,1093.556,1216.135,0.0,1.7058823529411764
