kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,18532.0,190.0,170.0,8.0,6.0,62.0,1605.0,20523.766,18715.255,0.0,1.1176470588235294
ELF,1892.0,3.0,6.0,0.0,1.0,1.0,141.0,158.004,218.738,0.0,0.5
ASSASSIN,48004.0,965.0,1080.0,29.0,97.0,130.0,2954.0,28665.468999999997,25415.836999999996,0.0,0.8935185185185185
SOLDIER,10068.0,86.0,136.0,8.0,3.0,64.0,2063.0,6622.965999999999,10237.556,0.0,0.6323529411764706
NINJA,7649.0,85.0,158.0,13.0,15.0,43.0,1261.0,6421.6399999999985,4966.8099999999995,0.0,0.5379746835443038
MEDIC,4177.0,31.0,28.0,4.0,3.0,13.0,489.0,2416.4260000000004,3234.844,457.0,1.1071428571428572
PYRO,9262.0,152.0,128.0,2.0,19.0,16.0,283.0,8926.172,8516.325,0.0,1.1875
ENGINEER,71.0,1.0,0.0,0.0,0.0,0.0,0.0,57.427,94.015,0.0,Inf
MAGE,1709.0,5.0,14.0,0.0,0.0,1.0,32.0,642.421,876.039,0.0,0.35714285714285715
ARCHER,1180.0,11.0,8.0,0.0,0.0,1.0,58.0,611.2379999999999,593.547,0.0,1.375
NECRO,361.0,4.0,1.0,2.0,1.0,2.0,206.0,97.203,210.687,0.0,4.0
CHEMIST,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
