kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NECRO,40156.0,629.0,565.0,6.0,31.0,56.0,1110.0,34293.486999999994,57119.72799999999,150.0,1.1132743362831858
DWARF,403.0,3.0,1.0,1.0,0.0,1.0,92.0,81.462,105.075,0.0,3.0
ARCHER,92665.0,1691.0,1148.0,3.0,9.0,12.0,309.0,44785.061000000016,68031.788,0.0,1.4729965156794425
HEAVY,168538.0,2738.0,2040.0,36.0,92.0,384.0,9695.0,183195.43800000005,265070.8210000001,0.0,1.342156862745098
SOLDIER,428032.0,5103.0,6873.0,182.0,155.0,1971.0,37283.0,277625.96200000006,626248.6339999997,0.0,0.742470536883457
ENGINEER,13862.0,154.0,111.0,2.0,14.0,7.0,113.0,12275.054,11854.824999999999,0.0,1.3873873873873874
ELF,863.0,4.0,32.0,0.0,0.0,2.0,7.0,282.645,347.21900000000005,0.0,0.125
MEDIC,43279.0,512.0,604.0,5.0,46.0,38.0,694.0,25934.766000000003,63900.789999999986,27393.0,0.847682119205298
MAGE,68.0,0.0,1.0,1.0,0.0,1.0,34.0,6.0,50.217,0.0,0.0
NINJA,13361.0,110.0,260.0,13.0,22.0,31.0,489.0,9400.071999999998,8185.698,0.0,0.4230769230769231
PYRO,42054.0,541.0,367.0,0.0,123.0,1.0,64.0,30005.804000000007,35978.707,0.0,1.4741144414168936
ASSASSIN,14861.0,276.0,390.0,0.0,35.0,5.0,53.0,6804.789,9230.004000000003,0.0,0.7076923076923077
CHEMIST,2363.0,21.0,17.0,0.0,7.0,0.0,0.0,1034.551,1011.0159999999998,0.0,1.2352941176470589
SCOUT,12145.0,88.0,206.0,2.0,13.0,20.0,189.0,4690.473,8738.744999999997,0.0,0.42718446601941745
