kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,9756.0,62.0,51.0,0.0,12.0,4.0,165.0,4361.330999999999,4391.840999999999,0.0,1.2156862745098038
HEAVY,35186.0,293.0,155.0,1.0,27.0,18.0,1430.0,31328.29099999999,28332.144,0.0,1.8903225806451613
ARCHER,425100.0,9542.0,3939.0,9.0,30.0,26.0,705.0,272523.66799999995,281047.74499999994,0.0,2.4224422442244222
PYRO,30931.0,330.0,186.0,0.0,68.0,0.0,3.0,16887.447999999993,17740.753,0.0,1.7741935483870968
MAGE,8935.0,48.0,63.0,0.0,5.0,7.0,76.0,5071.543,4487.160000000001,0.0,0.7619047619047619
DWARF,1210.0,5.0,1.0,0.0,0.0,0.0,0.0,420.887,316.77,0.0,5.0
ELF,2425.0,10.0,15.0,0.0,1.0,7.0,106.0,432.669,1325.016,0.0,0.6666666666666666
NINJA,13295.0,108.0,222.0,2.0,16.0,14.0,290.0,9355.506000000001,6489.1449999999995,0.0,0.4864864864864865
MEDIC,46570.0,271.0,183.0,1.0,66.0,8.0,173.0,22490.482999999997,27836.915,46802.0,1.4808743169398908
ASSASSIN,6513.0,83.0,129.0,0.0,9.0,2.0,1.0,2357.4230000000002,2838.915,0.0,0.6434108527131783
SCOUT,3846.0,29.0,73.0,0.0,3.0,0.0,0.0,3009.7340000000004,3039.2129999999997,0.0,0.3972602739726027
SOLDIER,31981.0,313.0,261.0,4.0,31.0,47.0,1153.0,28797.929,33062.074,0.0,1.1992337164750957
ENGINEER,12179.0,144.0,56.0,2.0,18.0,9.0,181.0,11382.539999999999,8069.878999999999,0.0,2.5714285714285716
NECRO,1564.0,5.0,7.0,0.0,1.0,2.0,44.0,623.995,734.988,88.0,0.7142857142857143
FASHIONISTA,120.0,0.0,2.0,0.0,0.0,2.0,52.0,76.5,214.72,0.0,0.0
