kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,50915.0,565.0,452.0,1.0,41.0,22.0,377.0,26448.869,51914.929000000004,22119.0,1.25
CHEMIST,1006.0,5.0,1.0,0.0,0.0,0.0,0.0,242.984,189.099,0.0,5.0
NINJA,7669.0,39.0,125.0,1.0,8.0,0.0,0.0,6129.569999999999,3637.575,0.0,0.312
SOLDIER,2249.0,21.0,17.0,0.0,1.0,2.0,15.0,1200.747,1381.279,0.0,1.2352941176470589
PYRO,1387.0,26.0,6.0,0.0,9.0,1.0,39.0,1160.92,1268.9,0.0,4.333333333333333
HEAVY,4116.0,15.0,8.0,0.0,4.0,2.0,19.0,1321.0810000000001,1224.801,0.0,1.875
NECRO,3132.0,27.0,19.0,0.0,3.0,0.0,0.0,2369.649,3059.291,0.0,1.4210526315789473
ARCHER,1794.0,30.0,30.0,0.0,0.0,0.0,0.0,908.565,1842.022,0.0,1.0
DWARF,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,240.0,2.0,2.0,0.0,0.0,0.0,0.0,167.099,129.732,0.0,1.0
