kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,211574.0,2519.0,2768.0,47.0,168.0,584.0,13717.0,216373.1749999998,279382.7900000001,0.0,0.9100433526011561
NINJA,13660.0,88.0,336.0,13.0,7.0,30.0,501.0,13332.623000000001,9149.249,0.0,0.2619047619047619
MEDIC,35581.0,351.0,341.0,2.0,46.0,17.0,414.0,26229.009000000002,38517.167,33558.0,1.029325513196481
SCOUT,3404.0,23.0,63.0,0.0,1.0,3.0,19.0,1253.335,2137.3459999999995,0.0,0.36507936507936506
CHEMIST,22504.0,292.0,272.0,10.0,9.0,56.0,1768.0,18314.057999999997,24720.334000000003,0.0,1.0735294117647058
ELF,2171.0,18.0,22.0,0.0,0.0,3.0,639.0,1066.5369999999998,1521.7330000000002,0.0,0.8181818181818182
HEAVY,70976.0,1186.0,717.0,11.0,68.0,91.0,2971.0,116306.57500000001,115802.50999999997,0.0,1.6541143654114365
ARCHER,826.0,8.0,9.0,0.0,0.0,1.0,26.0,478.9,657.1160000000001,0.0,0.8888888888888888
ASSASSIN,1370.0,14.0,26.0,0.0,6.0,0.0,0.0,552.3779999999999,624.53,0.0,0.5384615384615384
PYRO,12269.0,187.0,120.0,0.0,35.0,0.0,0.0,9520.13,9462.848,0.0,1.5583333333333333
NECRO,7274.0,129.0,128.0,0.0,1.0,15.0,76.0,8516.2,11149.341999999999,15.0,1.0078125
MAGE,143.0,3.0,2.0,0.0,0.0,0.0,0.0,127.99,128.739,0.0,1.5
FASHIONISTA,843.0,3.0,8.0,2.0,2.0,6.0,185.0,286.998,689.5740000000001,0.0,0.375
ENGINEER,1171.0,12.0,10.0,1.0,0.0,4.0,193.0,590.8480000000001,617.0989999999999,0.0,1.2
DWARF,81.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,110.239,0.0,0.0
