kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,51943.0,1126.0,1503.0,1.0,149.0,2.0,13.0,30665.475000000002,36165.667000000016,0.0,0.7491683300066534
MEDIC,141630.0,1097.0,1212.0,11.0,106.0,40.0,1373.0,65777.04199999999,128598.49100000002,163523.0,0.9051155115511551
HEAVY,43607.0,669.0,449.0,4.0,21.0,42.0,1674.0,54897.21600000001,62903.754,0.0,1.489977728285078
SOLDIER,74605.0,928.0,1100.0,18.0,41.0,198.0,3457.0,68038.89899999999,105753.302,0.0,0.8436363636363636
MAGE,64503.0,444.0,690.0,1.0,26.0,5.0,144.0,54729.359999999986,40989.135,0.0,0.6434782608695652
NINJA,28896.0,350.0,1012.0,2.0,42.0,8.0,99.0,43400.53899999999,26972.038999999993,0.0,0.3458498023715415
CHEMIST,22873.0,293.0,229.0,0.0,15.0,18.0,207.0,19557.481,21963.01799999999,0.0,1.279475982532751
PYRO,15503.0,167.0,153.0,0.0,51.0,1.0,0.0,10443.678,12322.938999999998,0.0,1.091503267973856
ARCHER,187271.0,4083.0,2410.0,1.0,16.0,7.0,305.0,112455.04599999997,141609.909,0.0,1.6941908713692946
NECRO,18454.0,315.0,193.0,4.0,7.0,15.0,1039.0,19065.643,25208.54,13.0,1.6321243523316062
DWARF,1715.0,13.0,3.0,0.0,0.0,0.0,0.0,657.976,555.4879999999999,0.0,4.333333333333333
ELF,2868.0,15.0,32.0,1.0,1.0,9.0,166.0,687.582,2086.378,0.0,0.46875
ENGINEER,23252.0,339.0,185.0,0.0,15.0,4.0,22.0,23332.880000000005,20548.686,0.0,1.8324324324324324
SCOUT,80514.0,627.0,1709.0,1.0,109.0,12.0,47.0,65977.129,72718.88399999998,0.0,0.36688121708601523
