kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,54193.0,877.0,1820.0,17.0,50.0,127.0,913.0,82214.354,54924.26100000001,0.0,0.4818681318681319
HEAVY,90052.0,2724.0,1223.0,20.0,30.0,111.0,6707.0,192462.549,179829.18000000002,0.0,2.2273098937040063
CHEMIST,213416.0,6620.0,3739.0,88.0,33.0,680.0,16129.0,319359.1770000002,439323.56700000045,0.0,1.770526878844611
SOLDIER,460332.0,7033.0,7398.0,338.0,67.0,2728.0,77189.0,347474.3930000001,713198.0320000002,0.0,0.9506623411732901
MEDIC,12468.0,210.0,185.0,8.0,2.0,22.0,361.0,8052.805,18668.974,7255.0,1.135135135135135
NECRO,169307.0,5434.0,2168.0,25.0,28.0,189.0,6867.0,248593.31199999992,280222.4870000001,0.0,2.506457564575646
ASSASSIN,7624.0,265.0,209.0,2.0,12.0,9.0,82.0,6464.731,5064.703000000001,0.0,1.2679425837320575
ARCHER,2992.0,90.0,42.0,1.0,0.0,4.0,36.0,2040.821,2440.4309999999996,0.0,2.142857142857143
SCOUT,3736.0,43.0,57.0,0.0,4.0,5.0,29.0,2134.08,2364.305,0.0,0.7543859649122807
FASHIONISTA,53.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,35.1,0.0,1.0
DWARF,240.0,0.0,0.0,0.0,0.0,0.0,0.0,62.541000000000004,86.82900000000001,0.0,NaN
ELF,36372.0,570.0,613.0,15.0,1.0,163.0,4245.0,23761.109,55476.081999999995,0.0,0.9298531810766721
MAGE,325.0,0.0,0.0,0.0,0.0,0.0,0.0,100.299,61.0,0.0,NaN
ENGINEER,4329.0,63.0,46.0,0.0,0.0,9.0,85.0,3154.2929999999997,5173.811999999999,0.0,1.3695652173913044
