kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,4132.0,4.0,4.0,0.0,0.0,0.0,0.0,362.408,491.648,0.0,1.0
ASSASSIN,178738.0,4972.0,4871.0,5.0,561.0,37.0,251.0,124876.772,119979.288,0.0,1.0207349620201192
NINJA,9549.0,185.0,347.0,1.0,18.0,1.0,20.0,17997.098,9481.197,0.0,0.5331412103746398
ENGINEER,10743.0,179.0,107.0,0.0,8.0,3.0,114.0,11225.537,10734.931999999997,0.0,1.6728971962616823
MAGE,349656.0,5090.0,2641.0,12.0,201.0,92.0,1927.0,458506.74100000004,192996.99999999985,0.0,1.927300265051117
MEDIC,26901.0,310.0,234.0,4.0,26.0,20.0,278.0,20131.037000000004,27696.700999999997,23861.0,1.3247863247863247
CHEMIST,1320.0,1.0,4.0,0.0,1.0,0.0,0.0,119.511,181.159,0.0,0.25
SCOUT,8931.0,104.0,174.0,0.0,15.0,6.0,54.0,6945.908,6319.988,0.0,0.5977011494252874
ARCHER,27559.0,821.0,314.0,0.0,5.0,4.0,75.0,24451.193000000003,19331.215,0.0,2.6146496815286624
ELF,6259.0,63.0,46.0,0.0,3.0,4.0,51.0,4569.6320000000005,3134.5229999999997,0.0,1.3695652173913044
PYRO,154.0,9.0,6.0,0.0,2.0,0.0,0.0,402.038,282.447,0.0,1.5
NECRO,1413.0,32.0,14.0,0.0,1.0,0.0,0.0,2102.353,2291.131,0.0,2.2857142857142856
