kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,192421.0,4029.0,3227.0,103.0,93.0,1025.0,21889.0,238331.23200000002,287992.46900000004,0.0,1.2485280446234892
SCOUT,11518.0,152.0,256.0,1.0,7.0,10.0,79.0,8717.338000000002,9352.095000000001,0.0,0.59375
HEAVY,492899.0,16644.0,7882.0,124.0,254.0,992.0,29633.0,1.1244262079999994e6,939093.1279999998,0.0,2.111646790154783
NINJA,201403.0,4558.0,9903.0,1.0,642.0,71.0,587.0,600719.22,272580.2090000001,0.0,0.4602645662930425
PYRO,7306.0,235.0,74.0,0.0,24.0,0.0,0.0,7960.508,7337.53,0.0,3.175675675675676
ASSASSIN,28871.0,1284.0,916.0,8.0,120.0,32.0,315.0,37126.165,23527.48100000001,0.0,1.4017467248908297
ELF,55349.0,925.0,826.0,48.0,2.0,308.0,9520.0,36487.796,77552.33600000001,0.0,1.1198547215496368
MEDIC,19845.0,218.0,191.0,2.0,9.0,16.0,359.0,11302.110000000006,18769.175,18719.0,1.1413612565445026
CHEMIST,15267.0,230.0,183.0,5.0,0.0,58.0,637.0,12799.668999999998,18388.492,0.0,1.2568306010928962
MAGE,6259.0,45.0,58.0,0.0,2.0,4.0,76.0,4424.532,3438.0710000000004,0.0,0.7758620689655172
ARCHER,12922.0,353.0,119.0,0.0,0.0,0.0,0.0,9452.726,6520.768999999999,0.0,2.966386554621849
ENGINEER,7022.0,65.0,51.0,0.0,9.0,5.0,237.0,4750.5470000000005,4550.386,0.0,1.2745098039215685
NECRO,2418.0,46.0,32.0,1.0,4.0,3.0,35.0,2845.7500000000005,3183.685,0.0,1.4375
FASHIONISTA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
DWARF,106.0,0.0,1.0,0.0,0.0,0.0,0.0,114.05,117.56,0.0,0.0
