kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,57112.0,1252.0,1668.0,1.0,160.0,2.0,13.0,34463.49100000001,40220.37100000002,0.0,0.750599520383693
MEDIC,178199.0,1397.0,1498.0,13.0,131.0,50.0,1519.0,83417.405,164561.118,214346.0,0.9325767690253671
HEAVY,53758.0,862.0,579.0,5.0,24.0,52.0,2509.0,72174.09700000002,82888.72600000001,0.0,1.4887737478411054
SOLDIER,104611.0,1297.0,1531.0,32.0,54.0,315.0,6976.0,95231.48399999997,147022.13499999998,0.0,0.8471587197909863
MAGE,75257.0,508.0,821.0,1.0,28.0,5.0,144.0,66921.75299999998,48475.94400000002,0.0,0.6187576126674786
NINJA,37531.0,441.0,1372.0,2.0,55.0,10.0,114.0,59194.846999999994,36313.185000000005,0.0,0.32142857142857145
CHEMIST,30931.0,405.0,320.0,0.0,16.0,26.0,796.0,26460.288999999997,30882.764999999985,0.0,1.265625
PYRO,15503.0,167.0,153.0,0.0,51.0,1.0,0.0,10443.678,12322.938999999998,0.0,1.091503267973856
ARCHER,213327.0,4766.0,2762.0,1.0,17.0,7.0,305.0,131962.90799999994,163428.75700000004,0.0,1.725561187545257
NECRO,24045.0,403.0,235.0,4.0,7.0,16.0,1264.0,24115.256000000005,31161.999000000003,13.0,1.7148936170212765
DWARF,1715.0,13.0,3.0,0.0,0.0,0.0,0.0,657.976,555.4879999999999,0.0,4.333333333333333
ELF,9037.0,99.0,121.0,2.0,3.0,13.0,245.0,5250.826999999999,8876.048,0.0,0.8181818181818182
ENGINEER,36647.0,526.0,259.0,0.0,31.0,6.0,42.0,38532.12900000001,32658.997999999996,0.0,2.030888030888031
SCOUT,112292.0,869.0,2317.0,1.0,146.0,15.0,55.0,92918.10199999997,99345.05499999996,0.0,0.37505394907207595
