kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,190840.0,3205.0,1454.0,38.0,242.0,190.0,7347.0,316116.57399999996,248350.51199999993,0.0,2.2042640990371387
SOLDIER,327535.0,5190.0,2775.0,52.0,737.0,414.0,16783.0,538824.0319999999,385972.7219999999,0.0,1.8702702702702703
NINJA,338672.0,8471.0,14425.0,10.0,1107.0,122.0,924.0,913162.0619999996,399955.8700000001,0.0,0.5872443674176776
ELF,45448.0,584.0,583.0,33.0,6.0,211.0,6548.0,27847.072999999993,54836.757999999994,0.0,1.0017152658662092
CHEMIST,33856.0,1049.0,496.0,14.0,16.0,69.0,1774.0,62313.216000000015,63153.451999999976,0.0,2.1149193548387095
ARCHER,15196.0,406.0,168.0,0.0,1.0,4.0,142.0,11438.294999999998,10527.295,0.0,2.4166666666666665
MEDIC,15372.0,210.0,166.0,1.0,4.0,20.0,276.0,10587.628999999999,20667.956000000002,6936.0,1.2650602409638554
MAGE,6278.0,36.0,69.0,1.0,3.0,13.0,531.0,4963.096,4061.5809999999997,0.0,0.5217391304347826
ASSASSIN,2026.0,48.0,36.0,0.0,7.0,1.0,19.0,1322.0120000000002,928.54,0.0,1.3333333333333333
PYRO,15035.0,364.0,89.0,1.0,62.0,0.0,31.0,14974.386,10299.924,0.0,4.089887640449438
NECRO,4910.0,238.0,85.0,0.0,0.0,1.0,4.0,8951.841,9047.843,184.0,2.8
ENGINEER,1056.0,13.0,10.0,0.0,2.0,4.0,157.0,480.764,570.9970000000001,0.0,1.3
FASHIONISTA,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,2630.0,35.0,52.0,0.0,1.0,4.0,15.0,1771.27,1900.8700000000001,0.0,0.6730769230769231
DWARF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
