kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,391308.0,844.0,588.0,47.0,41.0,281.0,9411.0,59225.63,72603.87999999999,0.0,1.435374149659864
SOLDIER,229591.0,2104.0,2745.0,286.0,121.0,1279.0,49072.0,128563.431,248560.40499999994,0.0,0.7664845173041894
NINJA,100472.0,1358.0,2640.0,49.0,204.0,206.0,4120.0,120650.30200000001,76636.55,0.0,0.5143939393939394
MEDIC,111702.0,761.0,791.0,56.0,48.0,294.0,12380.0,38820.841000000015,96399.87000000001,22752.0,0.9620733249051833
ARCHER,81708.0,1286.0,544.0,13.0,36.0,54.0,2336.0,40509.577999999994,36973.013,0.0,2.363970588235294
PYRO,1414.0,19.0,8.0,0.0,8.0,1.0,59.0,1208.135,839.7950000000001,0.0,2.375
NECRO,1077.0,4.0,8.0,2.0,1.0,3.0,109.0,420.773,765.702,43.0,0.5
ASSASSIN,5430.0,88.0,113.0,3.0,3.0,5.0,141.0,1839.8810000000003,2695.1389999999997,0.0,0.7787610619469026
FASHIONISTA,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MAGE,12078.0,49.0,68.0,12.0,11.0,29.0,2856.0,5110.385,5850.9929999999995,0.0,0.7205882352941176
CHEMIST,2058.0,9.0,20.0,0.0,1.0,6.0,158.0,431.087,813.512,0.0,0.45
DWARF,343.0,1.0,5.0,0.0,0.0,0.0,313.0,20.125,0.0,0.0,0.2
ELF,4014.0,11.0,11.0,3.0,3.0,9.0,474.0,914.4300000000001,1263.7630000000001,0.0,1.0
ENGINEER,193.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,5.0,0.0,NaN
SCOUT,12397.0,124.0,211.0,1.0,13.0,26.0,335.0,7091.677000000001,8490.456000000002,0.0,0.5876777251184834
