kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,40775.0,630.0,302.0,5.0,37.0,28.0,1114.0,59583.458999999995,49469.958000000006,0.0,2.0860927152317883
CHEMIST,7848.0,42.0,75.0,0.0,2.0,1.0,9.0,2035.98,1848.1979999999999,0.0,0.56
MEDIC,60818.0,441.0,615.0,6.0,22.0,14.0,839.0,25082.422000000002,62470.09300000001,40134.0,0.7170731707317073
NINJA,52330.0,903.0,1770.0,0.0,108.0,8.0,30.0,96566.02599999997,46486.58400000002,0.0,0.5101694915254237
SOLDIER,84385.0,1299.0,1203.0,17.0,57.0,198.0,3217.0,104078.13499999998,117144.53199999999,0.0,1.0798004987531171
MAGE,4373.0,20.0,16.0,0.0,0.0,0.0,0.0,1590.509,1077.3719999999998,0.0,1.25
PYRO,45671.0,638.0,475.0,1.0,147.0,0.0,17.0,35182.5,40665.01700000001,0.0,1.343157894736842
ENGINEER,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NECRO,173.0,0.0,1.0,0.0,0.0,0.0,0.0,46.8,148.492,0.0,0.0
ASSASSIN,26342.0,659.0,685.0,0.0,74.0,3.0,1.0,16715.391,16650.724000000002,0.0,0.962043795620438
SCOUT,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
