kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,57687.0,986.0,670.0,10.0,40.0,112.0,3627.0,75449.041,82443.32,0.0,1.471641791044776
SOLDIER,105705.0,1295.0,1623.0,39.0,71.0,468.0,9974.0,77907.01000000001,141938.86599999998,0.0,0.7979051139864448
MEDIC,711214.0,12047.0,10848.0,127.0,113.0,1211.0,24999.0,461131.1960000003,1.169009672999999e6,504544.0,1.1105272861356932
CHEMIST,116682.0,2447.0,1932.0,67.0,30.0,602.0,14063.0,117144.16699999999,202787.238,0.0,1.2665631469979297
ENGINEER,6112.0,83.0,85.0,0.0,2.0,16.0,158.0,6699.232000000002,6166.330999999998,0.0,0.9764705882352941
ARCHER,33384.0,780.0,405.0,0.0,0.0,2.0,16.0,22879.059999999998,28138.306,0.0,1.9259259259259258
NINJA,132564.0,2528.0,4939.0,20.0,302.0,227.0,1586.0,264751.013,146384.53999999998,0.0,0.511844502935817
MAGE,9996.0,78.0,149.0,0.0,7.0,7.0,59.0,6195.83,7864.945,0.0,0.5234899328859061
ASSASSIN,19687.0,610.0,608.0,0.0,50.0,7.0,51.0,15897.767000000002,14819.243,0.0,1.0032894736842106
NECRO,14600.0,338.0,196.0,7.0,4.0,38.0,1081.0,18552.028,23402.308999999994,110.0,1.7244897959183674
ELF,39336.0,544.0,702.0,28.0,4.0,255.0,6216.0,19381.285000000003,60412.255,0.0,0.7749287749287749
DWARF,200.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,15.0,0.0,NaN
PYRO,24231.0,573.0,182.0,0.0,143.0,4.0,61.0,23715.618,21046.430999999997,0.0,3.1483516483516483
SCOUT,10750.0,157.0,259.0,0.0,7.0,29.0,89.0,9370.902,10362.815000000002,0.0,0.6061776061776062
