kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,43376.0,328.0,146.0,2.0,36.0,10.0,290.0,35952.93600000001,30443.396999999997,0.0,2.2465753424657535
MEDIC,50587.0,221.0,299.0,0.0,24.0,3.0,102.0,17257.774000000005,28721.053000000004,43075.0,0.7391304347826086
ASSASSIN,41434.0,457.0,795.0,0.0,101.0,3.0,19.0,12035.613000000001,17505.003,0.0,0.5748427672955975
SOLDIER,27308.0,219.0,235.0,0.0,20.0,22.0,208.0,20772.004999999997,22809.479000000003,0.0,0.9319148936170213
NINJA,3173.0,7.0,44.0,2.0,1.0,2.0,59.0,1178.98,1221.6,0.0,0.1590909090909091
ARCHER,3715.0,22.0,22.0,0.0,0.0,0.0,0.0,584.315,921.677,0.0,1.0
CHEMIST,2143.0,6.0,16.0,1.0,1.0,1.0,77.0,368.7510000000001,755.277,0.0,0.375
PYRO,224.0,0.0,3.0,0.0,0.0,0.0,0.0,10.5,106.42,0.0,0.0
DWARF,246.0,2.0,1.0,0.0,0.0,0.0,0.0,43.5,109.999,0.0,2.0
MAGE,49.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,25.671,0.0,1.0
