kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ELF,117561.0,1264.0,1896.0,82.0,8.0,583.0,13827.0,57471.44899999998,151998.265,0.0,0.6666666666666666
ASSASSIN,55629.0,1331.0,1299.0,1.0,151.0,10.0,122.0,37459.365,32591.88599999999,0.0,1.0246343341031563
ARCHER,19361.0,465.0,256.0,1.0,1.0,5.0,382.0,14755.769,15327.582999999999,0.0,1.81640625
NINJA,526153.0,11463.0,21213.0,18.0,1215.0,210.0,1719.0,1.2352268380000019e6,582595.1340000001,0.0,0.5403761844152171
SOLDIER,131149.0,1931.0,1748.0,70.0,75.0,434.0,15882.0,125262.41899999997,166294.989,0.0,1.1046910755148742
HEAVY,47506.0,773.0,398.0,9.0,37.0,61.0,1008.0,60258.37999999999,53722.872999999985,0.0,1.9422110552763818
CHEMIST,48490.0,839.0,582.0,7.0,30.0,66.0,1912.0,59844.14200000002,54027.15099999999,0.0,1.4415807560137457
MEDIC,123750.0,1588.0,1540.0,12.0,80.0,128.0,1818.0,82599.568,151078.31799999994,92545.0,1.0311688311688312
MAGE,85840.0,1243.0,938.0,2.0,41.0,35.0,837.0,105009.37100000006,60711.81800000001,0.0,1.3251599147121536
ENGINEER,13062.0,286.0,96.0,2.0,11.0,7.0,193.0,18779.020999999993,13147.525000000001,0.0,2.9791666666666665
SCOUT,5758.0,65.0,119.0,1.0,3.0,5.0,71.0,4679.911,4896.233000000001,0.0,0.5462184873949579
PYRO,386529.0,8553.0,2545.0,9.0,1832.0,11.0,582.0,382496.27800000017,325801.912,0.0,3.3607072691552062
NECRO,6081.0,110.0,61.0,1.0,0.0,6.0,298.0,6252.182999999999,6829.203000000001,9.0,1.8032786885245902
DWARF,993.0,2.0,1.0,0.0,0.0,0.0,0.0,72.175,169.419,0.0,2.0
FASHIONISTA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
