kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,427069.0,9250.0,17187.0,13.0,976.0,167.0,1201.0,982634.2240000009,466865.7740000003,0.0,0.5381974748356316
HEAVY,31431.0,542.0,326.0,8.0,14.0,53.0,922.0,39433.791,40805.36,0.0,1.6625766871165644
ASSASSIN,40687.0,880.0,883.0,0.0,104.0,6.0,73.0,23018.662999999997,21635.941,0.0,0.9966024915062288
MEDIC,99095.0,1291.0,1289.0,11.0,71.0,116.0,1338.0,66565.055,123725.51600000003,64210.0,1.0015515903801397
SOLDIER,113166.0,1631.0,1565.0,67.0,61.0,402.0,15036.0,100915.58400000005,144688.64300000007,0.0,1.0421725239616613
CHEMIST,36758.0,602.0,461.0,7.0,16.0,58.0,1850.0,36952.32099999999,37046.306,0.0,1.3058568329718003
MAGE,53934.0,696.0,607.0,2.0,29.0,31.0,777.0,60725.195999999996,37219.311,0.0,1.1466227347611202
ELF,106757.0,1124.0,1737.0,77.0,7.0,532.0,12748.0,50491.005999999994,137799.52099999998,0.0,0.6470926885434658
DWARF,107.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,132.419,0.0,1.0
PYRO,213551.0,4493.0,1554.0,6.0,980.0,7.0,318.0,207283.65700000004,174878.00800000006,0.0,2.891248391248391
ARCHER,11211.0,240.0,162.0,1.0,1.0,3.0,371.0,7235.112,8426.138,0.0,1.4814814814814814
NECRO,4510.0,70.0,26.0,1.0,0.0,3.0,288.0,3858.5429999999997,3901.4269999999997,9.0,2.6923076923076925
ENGINEER,5831.0,139.0,56.0,2.0,7.0,7.0,193.0,8969.36,6999.143999999998,0.0,2.482142857142857
SCOUT,3809.0,38.0,75.0,0.0,3.0,2.0,25.0,3039.8619999999996,3319.745,0.0,0.5066666666666667
FASHIONISTA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
