kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,117078.0,1149.0,1157.0,10.0,71.0,40.0,831.0,59873.199,124078.68300000009,128482.0,0.993085566119274
SOLDIER,362627.0,4851.0,4475.0,42.0,326.0,712.0,11353.0,401344.6250000003,475196.777,0.0,1.084022346368715
NINJA,124086.0,1990.0,4084.0,1.0,159.0,18.0,180.0,206142.17099999994,110378.797,0.0,0.48726738491674826
HEAVY,89041.0,1175.0,688.0,8.0,42.0,59.0,2599.0,113225.2899999999,111842.00699999995,0.0,1.7078488372093024
ARCHER,259076.0,6071.0,3234.0,7.0,16.0,19.0,384.0,163311.776,200128.6079999999,0.0,1.8772418058132343
CHEMIST,78161.0,1237.0,1147.0,3.0,40.0,132.0,2302.0,91616.518,111614.72000000006,0.0,1.07846556233653
ASSASSIN,50078.0,1219.0,1389.0,0.0,106.0,8.0,16.0,36315.385999999984,34394.68799999999,0.0,0.8776097912167027
ELF,54686.0,730.0,802.0,7.0,1.0,106.0,1867.0,35463.556,65361.87900000003,0.0,0.9102244389027432
PYRO,994.0,9.0,5.0,0.0,0.0,1.0,5.0,530.2,499.93999999999994,0.0,1.8
SCOUT,21700.0,218.0,468.0,1.0,30.0,10.0,30.0,23481.484,21110.785,0.0,0.4658119658119658
NECRO,36654.0,742.0,539.0,3.0,2.0,28.0,295.0,38683.43799999998,55238.82100000001,0.0,1.3766233766233766
FASHIONISTA,85.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,87.048,0.0,0.0
MAGE,222.0,1.0,3.0,0.0,0.0,0.0,0.0,54.539,154.288,0.0,0.3333333333333333
ENGINEER,3928.0,60.0,59.0,0.0,5.0,3.0,13.0,4724.134,4988.611,0.0,1.0169491525423728
