kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,146567.0,2682.0,1477.0,33.0,95.0,259.0,6367.0,185621.25099999993,177685.91900000008,0.0,1.8158429248476642
ELF,41751.0,469.0,751.0,16.0,3.0,216.0,3939.0,19584.206,57452.95,0.0,0.6245006657789614
ENGINEER,14058.0,237.0,183.0,2.0,23.0,33.0,474.0,13633.276,15008.754000000003,0.0,1.2950819672131149
NECRO,12149.0,291.0,174.0,3.0,11.0,20.0,507.0,17839.172,18781.103000000003,345.0,1.6724137931034482
CHEMIST,161785.0,3839.0,3218.0,120.0,46.0,879.0,18230.0,199923.1790000002,317363.36400000006,0.0,1.1929770043505283
NINJA,546477.0,11386.0,26680.0,35.0,1533.0,329.0,2278.0,1.4242204929999986e6,646288.7710000001,0.0,0.4267616191904048
MAGE,28083.0,243.0,331.0,2.0,6.0,17.0,376.0,23648.303999999996,19844.022999999997,0.0,0.7341389728096677
SOLDIER,248232.0,3158.0,3799.0,178.0,162.0,1297.0,34303.0,187332.27699999994,318606.4169999996,0.0,0.8312713872071598
ASSASSIN,18133.0,526.0,654.0,1.0,56.0,3.0,82.0,16090.625000000002,15100.034000000001,0.0,0.8042813455657493
ARCHER,88122.0,2526.0,1309.0,2.0,6.0,16.0,812.0,61739.80299999998,72849.87000000001,0.0,1.9297173414820474
MEDIC,64778.0,1166.0,1167.0,19.0,19.0,103.0,1840.0,45342.507,109317.72500000003,33930.0,0.9991431019708654
PYRO,99431.0,2068.0,925.0,1.0,452.0,6.0,119.0,96625.748,83143.07500000007,0.0,2.2356756756756755
DWARF,505.0,5.0,9.0,1.0,0.0,2.0,91.0,191.889,362.321,0.0,0.5555555555555556
SCOUT,134970.0,1557.0,3155.0,9.0,158.0,270.0,2040.0,112797.15099999997,124070.153,0.0,0.4935023771790808
