kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ELF,27269.0,245.0,358.0,12.0,5.0,62.0,1393.0,16276.666999999998,19582.985999999997,0.0,0.6843575418994413
ARCHER,29796.0,553.0,358.0,2.0,10.0,18.0,422.0,20147.359000000008,19043.000000000004,0.0,1.5446927374301676
HEAVY,256797.0,4112.0,2490.0,104.0,102.0,647.0,19774.0,300274.6780000001,292765.80299999984,0.0,1.6514056224899598
CHEMIST,224922.0,4049.0,3724.0,89.0,114.0,723.0,14358.0,241967.20799999998,290243.53400000004,0.0,1.0872717508055854
ASSASSIN,37311.0,856.0,793.0,15.0,111.0,77.0,1245.0,23797.29300000001,18969.528000000002,0.0,1.0794451450189155
PYRO,88797.0,2116.0,943.0,4.0,376.0,59.0,1114.0,75111.406,69948.207,0.0,2.2439024390243905
NINJA,200699.0,3613.0,5835.0,30.0,374.0,234.0,3663.0,294530.79499999975,156027.4170000002,0.0,0.6191945158526135
SOLDIER,171225.0,1936.0,2304.0,131.0,163.0,773.0,33006.0,127241.044,197615.92799999999,0.0,0.8402777777777778
MEDIC,68986.0,1018.0,909.0,28.0,27.0,221.0,6177.0,51812.340999999964,90191.65799999998,24711.0,1.11991199119912
MAGE,10024.0,123.0,132.0,2.0,7.0,14.0,353.0,10346.838,9930.582999999999,0.0,0.9318181818181818
ENGINEER,3265.0,23.0,10.0,1.0,2.0,3.0,36.0,1853.2780000000002,932.498,0.0,2.3
DWARF,1800.0,8.0,7.0,2.0,0.0,2.0,139.0,382.099,436.533,0.0,1.1428571428571428
NECRO,1193.0,8.0,12.0,2.0,1.0,2.0,69.0,941.0409999999999,1067.772,42.0,0.6666666666666666
FASHIONISTA,540.0,2.0,6.0,1.0,0.0,1.0,30.0,191.187,247.515,0.0,0.3333333333333333
SCOUT,878.0,11.0,17.0,0.0,0.0,0.0,0.0,667.241,701.139,0.0,0.6470588235294118
