kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,11765.0,482.0,289.0,0.0,43.0,3.0,10.0,15444.328000000001,8395.288,0.0,1.6678200692041523
HEAVY,7001.0,121.0,51.0,5.0,8.0,7.0,1164.0,11367.326000000001,8416.077,0.0,2.372549019607843
NINJA,14179.0,225.0,393.0,0.0,23.0,1.0,8.0,25470.34,11003.046999999999,0.0,0.5725190839694656
ELF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SOLDIER,5930.0,75.0,56.0,3.0,7.0,18.0,1730.0,5053.932000000001,7133.273,0.0,1.3392857142857142
ARCHER,1332.0,32.0,16.0,0.0,0.0,0.0,0.0,893.929,919.594,0.0,2.0
SCOUT,223.0,2.0,5.0,0.0,0.0,0.0,0.0,16.625,172.025,0.0,0.4
CHEMIST,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDIC,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
