kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,336389.0,7309.0,2998.0,61.0,483.0,475.0,11983.0,745756.1510000002,498361.50700000004,0.0,2.4379586390927286
SOLDIER,328229.0,5092.0,3664.0,84.0,628.0,899.0,22451.0,543999.5059999998,411136.2540000002,0.0,1.3897379912663756
NINJA,41095.0,584.0,1208.0,16.0,84.0,84.0,1585.0,63315.827,32993.95999999999,0.0,0.48344370860927155
MEDIC,33980.0,401.0,428.0,10.0,12.0,66.0,1545.0,28495.972999999998,43221.227,22171.0,0.9369158878504673
ARCHER,8119.0,173.0,106.0,0.0,0.0,2.0,46.0,6332.213000000001,5735.629,0.0,1.6320754716981132
CHEMIST,157263.0,3835.0,2413.0,42.0,95.0,429.0,8624.0,316013.40000000014,277509.6669999999,0.0,1.5893079154579361
ELF,11473.0,80.0,96.0,2.0,2.0,16.0,1579.0,5534.657,7453.224000000001,0.0,0.8333333333333334
ASSASSIN,39429.0,1522.0,1458.0,1.0,122.0,18.0,159.0,50497.965,36614.22199999999,0.0,1.0438957475994513
NECRO,2088.0,17.0,27.0,0.0,0.0,2.0,220.0,2487.603,2511.056,621.0,0.6296296296296297
PYRO,23689.0,415.0,271.0,1.0,67.0,4.0,146.0,21753.821999999996,20943.695999999996,0.0,1.5313653136531364
MAGE,9579.0,71.0,84.0,0.0,8.0,156.0,727.0,6394.148,5529.438,0.0,0.8452380952380952
ENGINEER,1411.0,12.0,27.0,0.0,3.0,2.0,69.0,2133.973,1818.078,0.0,0.4444444444444444
DWARF,1145.0,8.0,6.0,1.0,0.0,1.0,167.0,465.472,507.48900000000003,0.0,1.3333333333333333
FASHIONISTA,256.0,1.0,2.0,0.0,0.0,0.0,0.0,55.343,141.823,0.0,0.5
SCOUT,3800.0,41.0,106.0,0.0,3.0,13.0,84.0,4288.367,4034.4339999999997,0.0,0.3867924528301887
