kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,233889.0,4202.0,1801.0,40.0,294.0,205.0,7743.0,412777.7569999997,313053.53699999984,0.0,2.3331482509716825
SOLDIER,363010.0,5997.0,3031.0,54.0,837.0,425.0,17182.0,626867.1520000004,434124.8859999996,0.0,1.978554932365556
CHEMIST,35190.0,1065.0,514.0,15.0,17.0,70.0,1813.0,63782.30799999998,64585.338,0.0,2.0719844357976656
ELF,47869.0,587.0,594.0,34.0,6.0,213.0,6585.0,28184.651,55481.748000000014,0.0,0.9882154882154882
NINJA,426143.0,10722.0,19119.0,13.0,1419.0,135.0,1007.0,1.2012586430000002e6,537032.4789999999,0.0,0.5608033892986035
ARCHER,15665.0,412.0,170.0,0.0,1.0,5.0,147.0,11717.933999999997,10755.905999999999,0.0,2.4235294117647057
MAGE,6311.0,36.0,69.0,1.0,3.0,13.0,531.0,4963.096,4061.581,0.0,0.5217391304347826
FASHIONISTA,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MEDIC,18141.0,230.0,183.0,1.0,5.0,21.0,290.0,11230.527999999998,22506.985,9849.0,1.2568306010928962
NECRO,6344.0,276.0,116.0,0.0,0.0,1.0,4.0,10828.664,11781.456,184.0,2.3793103448275863
PYRO,54815.0,1467.0,362.0,2.0,233.0,0.0,56.0,59633.016999999985,51028.09599999999,0.0,4.052486187845304
SCOUT,3364.0,35.0,61.0,0.0,1.0,4.0,15.0,1973.3700000000001,2275.2780000000002,0.0,0.5737704918032787
ASSASSIN,2715.0,95.0,59.0,0.0,12.0,2.0,31.0,2530.67,1635.029,0.0,1.6101694915254237
DWARF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,1827.0,33.0,15.0,1.0,3.0,6.0,182.0,1748.0819999999999,1520.017,0.0,2.2
