kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,56568.0,1439.0,869.0,13.0,32.0,154.0,2622.0,110556.24699999999,102245.56000000001,0.0,1.6559263521288838
NINJA,76495.0,1397.0,2148.0,3.0,245.0,32.0,270.0,130686.475,58321.71900000001,0.0,0.6503724394785847
CHEMIST,5224.0,80.0,106.0,0.0,1.0,19.0,145.0,4595.792,6117.819,0.0,0.7547169811320755
ELF,630.0,6.0,7.0,0.0,0.0,0.0,0.0,228.759,241.26999999999998,0.0,0.8571428571428571
SOLDIER,26761.0,371.0,389.0,9.0,33.0,104.0,2623.0,34429.19099999999,36624.87800000001,0.0,0.9537275064267352
MAGE,535.0,1.0,7.0,0.0,0.0,0.0,0.0,337.399,287.224,0.0,0.14285714285714285
MEDIC,5002.0,63.0,93.0,1.0,2.0,11.0,320.0,3021.63,6606.718000000001,1495.0,0.6774193548387096
ASSASSIN,4963.0,89.0,86.0,0.0,13.0,3.0,32.0,2942.576,2172.914,0.0,1.0348837209302326
ARCHER,564.0,5.0,9.0,0.0,0.0,2.0,60.0,207.857,442.76,0.0,0.5555555555555556
PYRO,5422.0,96.0,59.0,0.0,15.0,3.0,35.0,3443.6180000000004,3679.338,0.0,1.6271186440677967
NECRO,899.0,20.0,18.0,0.0,1.0,1.0,1.0,917.387,1310.092,0.0,1.1111111111111112
ENGINEER,478.0,6.0,6.0,0.0,1.0,1.0,2.0,460.5,442.543,0.0,1.0
SCOUT,1133.0,15.0,31.0,0.0,0.0,2.0,44.0,1047.805,1023.3399999999999,0.0,0.4838709677419355
