kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,114301.0,3447.0,1397.0,34.0,46.0,294.0,12118.0,218377.21599999993,228490.022,0.0,2.4674302075876877
SOLDIER,785405.0,13113.0,9428.0,708.0,143.0,3821.0,144152.0,575304.2320000001,1.1277658290000001e6,0.0,1.390857021637675
CHEMIST,115086.0,4005.0,1710.0,54.0,16.0,413.0,10025.0,168315.77799999993,233400.25600000002,0.0,2.3421052631578947
SCOUT,2946.0,28.0,44.0,0.0,0.0,5.0,29.0,910.716,1838.9909999999998,0.0,0.6363636363636364
NINJA,18215.0,229.0,317.0,12.0,9.0,52.0,435.0,15670.324999999995,13025.491,0.0,0.722397476340694
ARCHER,44320.0,1015.0,271.0,1.0,3.0,4.0,83.0,24304.286999999997,22153.183,0.0,3.745387453874539
ASSASSIN,1051.0,20.0,16.0,0.0,3.0,1.0,3.0,444.343,487.815,0.0,1.25
NECRO,8386.0,144.0,51.0,1.0,1.0,5.0,120.0,7816.553,7887.545,0.0,2.823529411764706
ELF,5989.0,79.0,59.0,1.0,0.0,3.0,120.0,3716.6599999999994,5819.839000000001,0.0,1.3389830508474576
MEDIC,6920.0,126.0,91.0,0.0,0.0,18.0,346.0,4845.1810000000005,12362.994999999997,3183.0,1.3846153846153846
MAGE,158.0,1.0,0.0,0.0,0.0,0.0,0.0,23.16,13.0,0.0,Inf
ENGINEER,4569.0,101.0,44.0,2.0,0.0,6.0,111.0,4682.722000000001,4887.04,0.0,2.2954545454545454
PYRO,751.0,18.0,10.0,0.0,0.0,0.0,0.0,705.4730000000001,588.28,0.0,1.8
FASHIONISTA,54.0,2.0,1.0,0.0,0.0,0.0,0.0,158.68,111.3,0.0,2.0
