kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,41369.0,990.0,763.0,22.0,8.0,251.0,5758.0,57944.03500000002,77680.541,0.0,1.2975098296199215
HEAVY,132426.0,3077.0,1178.0,10.0,169.0,177.0,3153.0,269348.353,185884.9380000001,0.0,2.6120543293718166
MEDIC,35215.0,552.0,445.0,12.0,18.0,66.0,1465.0,25911.096,48752.94699999999,24462.0,1.2404494382022473
ASSASSIN,28772.0,744.0,889.0,0.0,113.0,4.0,24.0,26574.681000000008,22371.096,0.0,0.8368953880764904
FASHIONISTA,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,NaN
SOLDIER,95148.0,1933.0,1027.0,23.0,259.0,211.0,4769.0,187739.56999999998,132995.097,0.0,1.8821811100292114
SCOUT,17971.0,230.0,462.0,0.0,46.0,15.0,98.0,21122.405,19713.651999999995,0.0,0.49783549783549785
NINJA,165665.0,3504.0,7583.0,6.0,561.0,49.0,398.0,443912.2869999999,194731.435,0.0,0.4620862455492549
ARCHER,255726.0,9087.0,3524.0,3.0,32.0,2.0,187.0,247896.90100000007,241755.761,0.0,2.578603859250851
ELF,2054.0,10.0,27.0,1.0,0.0,13.0,216.0,459.84,2146.917,0.0,0.37037037037037035
ENGINEER,3620.0,47.0,46.0,0.0,2.0,0.0,0.0,4344.705,3902.504,0.0,1.0217391304347827
PYRO,8341.0,217.0,92.0,1.0,40.0,1.0,33.0,9611.725999999999,8777.401,0.0,2.358695652173913
MAGE,2627.0,28.0,35.0,0.0,0.0,1.0,20.0,2766.546,2365.8630000000003,0.0,0.8
NECRO,798.0,31.0,15.0,0.0,0.0,0.0,0.0,1884.484,1557.622,0.0,2.066666666666667
