kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,32957.0,252.0,137.0,1.0,24.0,16.0,1386.0,26719.188,24336.658999999996,0.0,1.8394160583941606
MAGE,9066.0,48.0,63.0,0.0,6.0,7.0,76.0,5134.543000000001,4517.81,0.0,0.7619047619047619
DWARF,1210.0,5.0,1.0,0.0,0.0,0.0,0.0,420.887,316.77,0.0,5.0
ELF,2425.0,10.0,15.0,0.0,1.0,7.0,106.0,432.669,1325.016,0.0,0.6666666666666666
ASSASSIN,5690.0,62.0,94.0,0.0,10.0,2.0,1.0,1261.456,2036.102,0.0,0.6595744680851063
ARCHER,364415.0,7881.0,3206.0,7.0,26.0,25.0,610.0,228516.46699999992,230610.37000000005,0.0,2.458203368683718
MEDIC,41685.0,231.0,168.0,1.0,52.0,8.0,173.0,19833.361999999997,25296.751,36297.0,1.375
CHEMIST,8608.0,53.0,43.0,0.0,8.0,4.0,165.0,2909.169,3324.6310000000003,0.0,1.2325581395348837
SOLDIER,30987.0,302.0,233.0,4.0,32.0,46.0,1148.0,27038.325999999997,30883.765999999992,0.0,1.296137339055794
PYRO,30045.0,321.0,179.0,0.0,63.0,0.0,3.0,16316.956999999999,17264.304000000004,0.0,1.7932960893854748
NINJA,11905.0,89.0,167.0,2.0,11.0,14.0,290.0,7600.970999999999,5193.1449999999995,0.0,0.5329341317365269
FASHIONISTA,120.0,0.0,2.0,0.0,0.0,2.0,52.0,76.5,214.72,0.0,0.0
NECRO,1018.0,3.0,5.0,0.0,0.0,2.0,44.0,360.612,476.681,88.0,0.6
ENGINEER,11981.0,142.0,55.0,2.0,17.0,9.0,181.0,11198.578000000001,7906.755,0.0,2.581818181818182
SCOUT,2983.0,21.0,54.0,0.0,2.0,0.0,0.0,2176.014,2266.1769999999997,0.0,0.3888888888888889
