kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,17685.0,340.0,305.0,4.0,8.0,72.0,792.0,24171.261999999995,36426.869,0.0,1.1147540983606556
PYRO,243.0,0.0,2.0,0.0,0.0,0.0,0.0,25.75,101.55,0.0,0.0
NINJA,13246.0,66.0,177.0,2.0,37.0,4.0,226.0,6796.879000000002,4715.848,0.0,0.3728813559322034
MEDIC,407.0,4.0,11.0,0.0,0.0,0.0,0.0,176.049,686.828,232.0,0.36363636363636365
SOLDIER,120505.0,1430.0,2391.0,53.0,14.0,708.0,12496.0,74594.55099999999,200839.58199999994,0.0,0.5980761187787537
CHEMIST,84.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
ARCHER,95.0,2.0,1.0,0.0,0.0,0.0,0.0,52.0,83.699,0.0,2.0
ASSASSIN,3.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Inf
SCOUT,45.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0
ELF,87.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0
ENGINEER,222.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,18.2,0.0,Inf
NECRO,1238.0,9.0,10.0,0.0,0.0,0.0,11.0,639.4110000000001,1002.501,0.0,0.9
