kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,190029.0,2710.0,5235.0,1.0,398.0,18.0,245.0,284981.30500000005,145141.11700000003,0.0,0.5176695319961796
PYRO,55395.0,801.0,428.0,2.0,166.0,2.0,53.0,39562.438,39111.242999999995,0.0,1.8714953271028036
HEAVY,174325.0,1048.0,445.0,14.0,76.0,80.0,3232.0,90073.88200000004,74159.45199999999,0.0,2.3550561797752807
MEDIC,479662.0,5349.0,5373.0,40.0,143.0,247.0,7364.0,222276.8050000001,588184.8059999997,362811.0,0.9955332216638749
CHEMIST,33645.0,123.0,217.0,3.0,18.0,3.0,33.0,8265.937,7149.926000000003,0.0,0.5668202764976958
SOLDIER,118528.0,1388.0,1208.0,40.0,140.0,348.0,13116.0,104008.83000000003,133770.94000000003,0.0,1.1490066225165563
ASSASSIN,128087.0,2535.0,2605.0,1.0,384.0,2.0,42.0,65621.34999999998,63473.72200000001,0.0,0.9731285988483686
ARCHER,9119.0,167.0,72.0,0.0,2.0,5.0,261.0,4634.424999999999,4997.941999999999,0.0,2.3194444444444446
ENGINEER,3108.0,5.0,5.0,0.0,0.0,0.0,0.0,208.95800000000003,575.546,0.0,1.0
ELF,5203.0,13.0,23.0,0.0,0.0,2.0,198.0,1075.614,1634.132,0.0,0.5652173913043478
MAGE,7027.0,10.0,23.0,1.0,1.0,2.0,93.0,1309.773,2085.93,0.0,0.43478260869565216
NECRO,4287.0,26.0,14.0,1.0,0.0,0.0,416.0,1651.855,2400.3170000000005,0.0,1.8571428571428572
FASHIONISTA,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,NaN
SCOUT,407.0,1.0,2.0,0.0,1.0,0.0,0.0,11.0,55.463,0.0,0.5
DWARF,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
