kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,48188.0,656.0,522.0,12.0,39.0,57.0,3492.0,62882.26400000003,75442.51999999999,0.0,1.2567049808429118
NINJA,168992.0,2474.0,6112.0,11.0,431.0,107.0,688.0,307371.5320000003,177223.70600000024,0.0,0.40477748691099474
SOLDIER,127110.0,1300.0,1732.0,40.0,162.0,574.0,12111.0,111316.02300000003,170636.04200000007,0.0,0.7505773672055427
ASSASSIN,27503.0,489.0,780.0,0.0,66.0,1.0,1.0,16184.546000000002,18762.169999999987,0.0,0.6269230769230769
CHEMIST,211445.0,3999.0,4153.0,98.0,36.0,1083.0,21738.0,218947.80700000003,452157.4679999996,0.0,0.9629183722610162
MEDIC,69195.0,935.0,1073.0,8.0,27.0,102.0,1442.0,36954.643999999986,114208.63099999998,33692.0,0.8713886300093197
PYRO,84624.0,1662.0,833.0,1.0,366.0,1.0,7.0,76386.185,95674.70500000003,0.0,1.9951980792316926
ARCHER,45268.0,1007.0,641.0,0.0,2.0,2.0,17.0,28327.873000000003,41670.89899999999,0.0,1.5709828393135725
DWARF,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MAGE,44351.0,420.0,493.0,2.0,33.0,13.0,179.0,50284.598,35303.91500000001,0.0,0.8519269776876268
ELF,176592.0,1769.0,3515.0,97.0,19.0,1296.0,22293.0,81206.67799999997,311416.524,0.0,0.503271692745377
NECRO,8716.0,167.0,107.0,1.0,1.0,13.0,453.0,7734.482,13059.941,0.0,1.560747663551402
ENGINEER,3414.0,41.0,62.0,1.0,1.0,7.0,95.0,3987.6220000000003,5227.827000000001,0.0,0.6612903225806451
SCOUT,51683.0,466.0,1267.0,0.0,59.0,25.0,140.0,38308.83599999999,52479.52300000005,0.0,0.36779794790844517
FASHIONISTA,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
