kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,28261.0,379.0,281.0,5.0,24.0,30.0,946.0,34380.651999999995,38893.71800000001,0.0,1.3487544483985765
NINJA,144509.0,2112.0,5092.0,9.0,369.0,94.0,584.0,257113.5500000001,149770.0940000001,0.0,0.4147682639434407
SOLDIER,94067.0,958.0,1160.0,26.0,143.0,350.0,7148.0,88473.53199999998,117838.66899999995,0.0,0.8258620689655173
ASSASSIN,25396.0,451.0,707.0,0.0,62.0,1.0,1.0,14910.069000000001,17129.96899999999,0.0,0.637906647807638
CHEMIST,169581.0,3344.0,3279.0,80.0,33.0,831.0,16665.0,182436.45299999995,365306.7289999999,0.0,1.0198231168039036
MEDIC,52852.0,654.0,782.0,8.0,26.0,75.0,791.0,28082.540999999997,82578.61799999999,24611.0,0.8363171355498721
PYRO,22502.0,400.0,295.0,0.0,53.0,0.0,4.0,19706.288,25022.184999999994,0.0,1.3559322033898304
ARCHER,36765.0,819.0,503.0,0.0,2.0,2.0,15.0,22465.607,31901.284999999996,0.0,1.628230616302187
DWARF,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGE,36778.0,353.0,385.0,2.0,30.0,10.0,171.0,40745.335999999996,28685.117000000002,0.0,0.9168831168831169
ELF,102716.0,912.0,1980.0,52.0,12.0,713.0,12652.0,45662.72399999998,171170.04600000012,0.0,0.46060606060606063
NECRO,3327.0,56.0,47.0,0.0,1.0,5.0,77.0,3509.0190000000002,5059.342000000001,0.0,1.1914893617021276
ENGINEER,1188.0,13.0,22.0,0.0,0.0,3.0,22.0,1198.177,1673.137,0.0,0.5909090909090909
SCOUT,39332.0,374.0,980.0,0.0,49.0,16.0,121.0,30846.568999999992,40683.88900000003,0.0,0.3816326530612245
