kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,124757.0,285.0,222.0,6.0,43.0,49.0,2229.0,31192.576,30581.79599999999,0.0,1.2837837837837838
NINJA,146522.0,1872.0,4528.0,4.0,338.0,41.0,742.0,229626.8,116728.451,0.0,0.4134275618374558
ARCHER,125025.0,2543.0,1480.0,0.0,9.0,19.0,269.0,67237.01099999995,83647.53299999998,0.0,1.7182432432432433
ASSASSIN,125927.0,2663.0,3500.0,3.0,447.0,46.0,546.0,77287.90699999998,81170.74300000002,0.0,0.7608571428571429
MEDIC,492127.0,4753.0,4968.0,67.0,212.0,489.0,13299.0,207003.676,544868.2339999999,347923.0,0.9567230273752013
SOLDIER,121734.0,800.0,1553.0,101.0,72.0,706.0,25191.0,63845.02899999999,144310.46400000007,0.0,0.51513200257566
ENGINEER,807.0,8.0,3.0,0.0,2.0,0.0,0.0,530.06,422.92,0.0,2.6666666666666665
CHEMIST,35397.0,379.0,549.0,10.0,4.0,84.0,2333.0,17541.91,29199.109000000004,0.0,0.6903460837887068
PYRO,717727.0,13758.0,5175.0,9.0,3695.0,10.0,481.0,637524.5760000002,620185.933,0.0,2.658550724637681
NECRO,8251.0,204.0,107.0,0.0,3.0,6.0,32.0,9412.824,12722.986,0.0,1.9065420560747663
ELF,4547.0,14.0,38.0,0.0,3.0,8.0,89.0,1447.397,2177.254,0.0,0.3684210526315789
DWARF,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
FASHIONISTA,174.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGE,21335.0,110.0,205.0,1.0,20.0,12.0,192.0,14098.173999999999,12698.752999999997,0.0,0.5365853658536586
SCOUT,3328.0,33.0,60.0,0.0,9.0,4.0,71.0,1694.989,2404.1939999999995,0.0,0.55
