kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,169600.0,3489.0,1429.0,13.0,238.0,123.0,1971.0,357286.70199999993,247173.32600000003,0.0,2.4415675297410777
SOLDIER,209679.0,3260.0,1758.0,26.0,440.0,198.0,5698.0,357064.99900000024,246588.15099999998,0.0,1.8543799772468714
MEDIC,17948.0,106.0,95.0,1.0,18.0,6.0,278.0,8956.269,13273.283,21703.0,1.1157894736842104
NINJA,237361.0,5737.0,11635.0,3.0,922.0,76.0,665.0,726553.6839999995,327926.26700000017,0.0,0.4930812204555221
ARCHER,3487.0,60.0,31.0,1.0,3.0,0.0,37.0,1744.2689999999998,1826.6150000000002,0.0,1.935483870967742
CHEMIST,30534.0,766.0,386.0,12.0,20.0,87.0,3743.0,43169.918000000005,50218.842000000004,0.0,1.9844559585492227
PYRO,19856.0,510.0,167.0,0.0,84.0,2.0,6.0,20563.095,18523.959,0.0,3.053892215568862
MAGE,3355.0,29.0,35.0,0.0,3.0,10.0,454.0,2725.492,2507.422,0.0,0.8285714285714286
ASSASSIN,43601.0,1800.0,1491.0,0.0,147.0,11.0,82.0,60100.28499999999,39942.098,0.0,1.2072434607645874
ELF,17863.0,246.0,290.0,10.0,2.0,91.0,1407.0,12755.49,24863.632000000005,0.0,0.8482758620689655
DWARF,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,8236.0,95.0,144.0,0.0,10.0,5.0,19.0,6745.714000000001,6118.995,0.0,0.6597222222222222
ENGINEER,1662.0,25.0,21.0,0.0,0.0,2.0,19.0,966.7610000000001,1581.2350000000001,0.0,1.1904761904761905
NECRO,4859.0,168.0,69.0,1.0,1.0,3.0,54.0,8695.59,7863.738,0.0,2.4347826086956523
FASHIONISTA,1108.0,8.0,17.0,0.0,0.0,2.0,82.0,588.662,1125.552,0.0,0.47058823529411764
